BOR;AN;FI;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2019;080000110;080000037;GEN;156;432;1;IAO;17184;2142;3904;3393;;;0;;;0;;;874;;;;3;1095;3526;1910;1729;;
URGENCES2;2019;080000219;080001969;GEN;336;336;0;;15402;2357;3676;691;271;37;56;42;0;15;6;0;177;15;22;;6;2190;3034;1704;1452;1;1
URGENCES2;2019;080000276;080001969;GEN;168;168;0;;6351;848;1261;876;307;10;14;13;;6;3;;154;15;29;;2;730;1410;1046;401;1;1
URGENCES2;2019;080000425;080000615;GEN;348;1370;1;IAO;57209;6212;16315;12461;3610;1697;724;25;1;;;;848;246;28;;14;5110;7499;4415;3320;1;1
URGENCES2;2019;090000175;090781774;GEN;476;724;1;IAO;35753;4524;7532;9015;2497;756;;;;;;;82;6;12;;8;2920;4937;2461;2595;0;1
URGENCES2;2019;090000183;090781816;GEN;336;336;0;;11322;1720;1970;2391;;;;;;;;;;;;;3;1095;1277;668;622;1;1
URGENCES2;2019;090001629;090781774;GEN;168;168;1;IAO;6596;918;1466;488;281;11;0;0;0;0;0;0;56;18;7;;0;;0;0;0;1;1
URGENCES2;2019;100000090;100000017;GEN;644;1256;1;IAO;64525;6845;18324;12674;3785;1973;;;;;;;1098;123;140;;19;6935;6176;1820;6015;1;1
URGENCES2;2019;100000199;100006279;GEN;168;384;1;IAO;19049;3181;4247;2704;;;;;;;;;495;;;;4;1460;758;344;446;1;1
URGENCES2;2019;110000023;110780061;GEN;317;756;1;IAO;38846;5618;9250;7730;2584;1040;0;0;0;0;0;0;381;45;76;;9;3285;3445;1205;2468;1;1
URGENCES2;2019;110000049;110780087;GEN;168;238;1;IAO;11553;820;3290;;;;1;;;0;;;434;;;;2;730;1055;638;428;0;0
URGENCES2;2019;110000056;110780137;GEN;215;499;1;IAO;46298;5078;13282;9249;2291;1310;223;4;8;;;;661;203;34;;9;3285;6599;3494;3576;1;0
URGENCES2;2019;110780228;110000114;GEN;168;378;1;IAO;21383;1995;3566;5917;1180;339;23;11;;;;;443;186;5;;6;2190;1134;777;365;0;1
URGENCES2;2019;110780483;110000155;GEN;168;315;1;IAO;19420;1363;4140;2350;510;66;;;;;;;;;;;4;1460;712;551;162;0;1
URGENCES2;2019;120000039;120780044;GEN;336;332;1;IAO;32287;4997;7374;7485;2884;853;42;13;28;0;0;0;2050;936;76;;4;1460;2058;426;1731;1;1
URGENCES2;2019;120000054;120780069;GEN;186;186;1;MAO;14340;2251;2377;3013;1103;54;;;;;;;;;;;2;730;505;260;248;1;0
URGENCES2;2019;120000070;120780085;GEN;195;336;1;IAO;12150;1862;2292;1104;834;19;14;12;0;;;;434;;;;2;730;714;285;437;;
URGENCES2;2019;120004569;120004528;GEN;168;252;1;IAO;17166;2286;3642;3032;921;53;76;;;0;;;520;;;;3;1095;1085;368;735;1;1
URGENCES2;2019;120004668;120004619;GEN;168;172;1;IAO;9648;1402;2136;1874;763;106;;;;;;;201;52;28;;2;730;836;461;390;1;1
URGENCES2;2019;130000409;130041916;GEN;938;1632;1;IAO;69274;8087;20228;17615;5140;2477;783;47;7;0;0;0;402;145;15;;9;5763;13022;6180;8950;1;1
URGENCES2;2019;130000565;130781446;GEN;260;420;1;IAO;40786;3680;15302;7117;2329;1329;123;105;0;17;3;0;1316;539;82;;8;2920;3421;1636;1926;1;1
URGENCES2;2019;130001225;130782634;GEN;504;568;1;IAO;41540;4364;10364;9862;2954;1496;;;;;;;;;;;6;2190;3534;763;3054;1;1
URGENCES2;2019;130002215;130785512;GEN;252;402;1;IAO;26544;3337;4170;2809;1356;33;;;;2;;;557;;;;4;;1020;367;672;1;1
URGENCES2;2019;130002827;130789274;GEN;238;588;1;IAO;34433;4601;5620;5753;2189;76;1173;312;27;;;;1027;369;33;;4;1460;2502;1104;1476;1;1
URGENCES2;2019;130002835;130789316;GEN;480;742;1;IAO;48626;4658;12759;1435;16;1246;4;0;0;;;;1216;377;67;;10;;8154;4321;4220;1;
URGENCES2;2019;130043664;130002157;GEN;504;850;1;IAO;39447;2936;823;5001;985;32;;;;;;;892;269;13;;6;2190;2286;1074;1275;1;1
URGENCES2;2019;130780521;130786049;GEN;789;2049;1;IAO;104687;;36750;17859;;2725;;;;;;;;;;;15;5475;9429;5069;5671;1;1
URGENCES2;2019;130781479;130000599;GEN;252;336;1;IAO;16276;1470;2094;3530;20;1200;;;;;;;;;;;2;;9;3;6;1;1
URGENCES2;2019;130782071;130002454;GEN;168;287;1;IAO;14425;1007;3180;691;312;29;1;1;0;1;0;0;110;37;21;;6;2190;290;217;76;1;1
URGENCES2;2019;130782147;130000979;GEN;336;595;1;IAO;33756;4110;4366;6389;2173;84;;;;;;;32;3;3;;6;2190;1905;1100;818;1;1
URGENCES2;2019;130783293;130786049;GEN;962;2352;1;IAO;85031;;;19472;;;;;;;;;;;;;19;6935;15899;6901;12725;1;1
URGENCES2;2019;130784713;130038847;GEN;252;504;1;IAO;14048;1645;768;2476;718;33;;;;;;;;;;;4;1410;31;14;17;1;1
URGENCES2;2019;130785652;130014228;GEN;840;981;1;IAO;63740;6428;28129;17607;4210;1723;;;;;;;;;;;13;4745;7550;3880;3974;1;1
URGENCES2;2019;130786361;130002447;GEN;252;480;1;IAO;19915;2338;2362;4225;1212;99;;;;;;;125;25;5;;3;;363;125;242;1;0
URGENCES2;2019;130786742;750821092;GEN;364;510;1;IAO;25776;4154;1054;3895;1711;39;33;0;0;;;;479;258;1;;10;3650;3890;1562;2502;1;1
URGENCES2;2019;140000027;140000035;GEN;456;742;1;IAO;47141;3954;16123;9095;2693;1976;3;2;0;;;;;;;;9;3285;4658;2670;2190;1;0
URGENCES2;2019;140000209;140000100;GEN;581;1800;1;IAO;69622;9001;1588;16192;5056;116;327;5;11;0;0;0;1717;288;20;;13;4745;13208;5163;9542;1;1
URGENCES2;2019;140000209;140000100;PED;268;577;1;IAO;25309;;;;;;;;;;;;;;;3879;3;1095;1916;1084;834;;
URGENCES2;2019;140000233;140000118;GEN;168;246;1;IAO;18698;2232;6387;4928;1419;1203;;;;;;;;;;;2;730;1514;713;847;1;0
URGENCES2;2019;140000373;140000159;GEN;168;252;1;IAO;10808;2169;1423;3315;1510;16;35;2;2;1;0;0;487;69;107;;2;730;1749;484;1358;1;1
URGENCES2;2019;140002452;140025800;GEN;230;263;1;IAO;15414;1320;2630;837;585;2;1;0;0;0;0;0;239;39;23;;0;;786;556;234;1;0
URGENCES2;2019;140016759;140003146;GEN;196;319;1;IAO;23018;1961;4244;2374;;;;;;;;;119;;;;6;1125;1063;736;357;0;0
URGENCES2;2019;140017237;140003278;GEN;203;361;1;IAO;26035;2549;5110;3553;644;52;;;;;;;209;;;;7;2555;383;77;312;1;0
URGENCES2;2019;140024886;140000092;GEN;188;420;1;IAO;22740;3125;5571;4776;1758;613;365;202;0;0;0;0;413;101;10;;4;1460;2536;1221;1471;1;0
URGENCES2;2019;140026410;140026279;GEN;336;392;1;IAO;17444;1407;2187;4559;;;;;;;;;923;;;;5;1825;3017;1771;1342;0;0
URGENCES2;2019;150000032;150780088;GEN;168;168;0;;14185;2004;2829;2842;1116;74;118;14;5;;;;292;51;86;;0;0;0;0;0;0;1
URGENCES2;2019;150000040;150780096;GEN;272;543;1;IAO;28351;3627;7342;8275;2448;1465;0;0;0;0;0;0;256;48;25;;6;2190;1747;321;1609;1;1
URGENCES2;2019;150000164;150780468;GEN;48;35;1;IAO;9281;1339;2079;;;;;;;;;;;;;;6;2190;1354;316;1059;0;0
URGENCES2;2019;160000253;160000451;GEN;601;1456;1;IAO;63163;7050;20008;13343;3310;1708;70;;;;;;886;152;35;;14;5110;6401;3362;3188;1;1
URGENCES2;2019;160000303;160006037;GEN;168;252;1;IAO;9555;1208;1724;2447;;;;;;;;;;;;;2;730;345;276;75;1;1
URGENCES2;2019;160000311;160000485;GEN;168;207;1;IAO;12288;1779;2585;1507;786;15;16;9;0;;;;506;98;60;;2;730;779;778;1;1;0
URGENCES2;2019;160000337;160000493;GEN;168;210;0;;10603;1980;1999;2236;1965;39;18;15;0;;;;108;;;;2;730;690;563;143;1;0
URGENCES2;2019;160015368;160014411;GEN;77;140;1;IAO;19275;2492;3079;5577;1651;141;;;;;;;1123;188;115;;7;2555;4830;2750;2148;1;1
URGENCES2;2019;170000038;170780050;GEN;168;168;1;IAO;14105;2603;2106;3090;1578;55;26;1;0;;;;234;35;44;;4;1460;1491;413;1158;1;0
URGENCES2;2019;170000087;170024194;GEN;525;1021;1;IAO;47621;8850;7304;14549;4889;527;1944;811;36;1;;;145;19;10;;15;4881;4990;1062;4310;1;0
URGENCES2;2019;170000095;170780167;GEN;168;231;1;IAO;11416;2036;1647;1487;874;6;17;13;0;0;0;0;523;113;46;;3;1095;1286;328;1108;1;1
URGENCES2;2019;170000103;170780175;GEN;336;588;1;IAO;36347;4436;4245;7481;2114;117;221;2;0;;;;221;31;37;;8;2920;2486;337;3084;1;1
URGENCES2;2019;170000103;170780175;PED;168;252;1;IAO;10533;;;;;;;;;;;;;;;2278;2;730;806;470;343;;
URGENCES2;2019;170000152;170780225;GEN;406;1008;1;IAO;40142;4857;10951;10563;3231;1451;;;;;;;498;;;;9;3285;3780;634;3363;0;1
URGENCES2;2019;170022065;170022057;GEN;336;434;1;IAO;19632;4270;2162;;;;;;;;;;4947;2099;28;;;;0;0;0;1;0
URGENCES2;2019;170022818;170022057;GEN;84;98;1;IAO;7253;699;1440;;;;;;;;;;403;115;28;;;;0;0;0;1;0
URGENCES2;2019;170022826;170022057;GEN;84;174;;;11632;892;1698;;;;;;;;;;1921;439;93;;;;0;0;0;;
URGENCES2;2019;180000010;180000028;GEN;535;1106;1;IAO;47943;9600;10002;12110;2751;1368;;;;;;;;;;;13;4745;5434;870;6107;1;1
URGENCES2;2019;180000200;180000051;GEN;312;354;1;IAO;22574;2739;5371;1994;1567;427;0;0;0;0;0;0;265;;;;4;1460;2691;870;2011;0;1
URGENCES2;2019;180000283;180000069;GEN;168;284;1;IAO;14814;2382;2865;2277;870;1;7;4;;;;;987;169;102;;5;1825;2192;1054;1255;1;1
URGENCES2;2019;190000018;190000042;GEN;288;742;1;IAO;40436;6103;8375;11004;4185;970;;;;;;;;;;;9;3285;2889;263;2768;1;1
URGENCES2;2019;190000026;190000059;GEN;203;516;1;IAO;20761;3498;3973;5004;2140;398;399;28;;11;0;1;343;66;34;;6;2190;1847;426;1582;1;1
URGENCES2;2019;190000091;190000075;GEN;168;168;0;;13404;1252;2534;3250;843;113;2;;;0;;;;96;53;;1;365;603;272;334;1;1
URGENCES2;2019;210012670;210011367;GEN;238;655;1;IAO;29046;3127;7811;2199;452;537;;;;;;;675;123;9;;6;;6813;5719;1177;1;1
