BOR;AN;FI;FI_EJ;PERSO;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_AT;ETP_AU;EFFSAL;ETPSAL;EFFLIB
Q20;2019;010000024;010780054;M1010;5;9;3;9;;;2;5;6.11;12.63;;13.3;;;1.56;3.88;26;18.74;7
Q20;2019;010000024;010780054;M1020;1;2;;;;;;;1.33;2;;2.33;1;;;;3;3.33;
Q20;2019;010000024;010780054;M1030;8;3;1;4;;;;;8.6;5.56;;10.1;0.66;;1;2.4;16;14.16;
Q20;2019;010000024;010780054;M1031;5;1;1;1;;;;;5.13;1.6;;5.25;0.58;;0.1;0.8;8;6.73;
Q20;2019;010000024;010780054;M1040;1;;;;;;2;;2.16;;;0.5;1;;0.66;;1;2.16;2
Q20;2019;010000024;010780054;M1050;;1;1;;;;;;0.1;1;;1;;;0.1;;2;1.1;
Q20;2019;010000024;010780054;M1070;1;;1;2;;;;;1.4;1.6;;2.6;;;;0.4;4;3;
Q20;2019;010000024;010780054;M1090;3;1;;;;;;;3;1;;4;;;;;4;4;
Q20;2019;010000024;010780054;M1100;1;1;1;1;;;;;1.48;0.95;;1.08;;;1.2;0.15;4;2.43;
Q20;2019;010000024;010780054;M1110;2;2;;1;;;;;2;1.98;;3;;;0.4;0.58;5;3.98;
Q20;2019;010000024;010780054;M1120;4;2;;1;;;;;4;1.21;;4.55;;;;0.66;7;5.21;
Q20;2019;010000024;010780054;M1130;1;3;;;;;;;1;3;;4;;;;;4;4;
Q20;2019;010000024;010780054;M1140;3;3;1;;;;;;3.42;2.75;;5.26;0.25;;;0.66;7;6.17;
Q20;2019;010000024;010780054;M1150;1;1;1;1;;;;;1.4;2.53;;2.7;0.83;;0.4;;4;3.93;
Q20;2019;010000024;010780054;M1160;;1;;;;;;;0.32;1;;1.32;;;;;1;1.32;
Q20;2019;010000024;010780054;M1170;1;1;;;;;;;1;1;;2;;;;;2;2;
Q20;2019;010000024;010780054;M1190;;2;;2;;;;;;2.8;;2.6;;;0.2;;4;2.8;
Q20;2019;010000024;010780054;M1320;3;5;;;;;;;3;1.55;;4.55;;;;;8;4.55;
Q20;2019;010000024;010780054;M1340;9;6;3;4;;;;;10.15;10.88;;12.93;3.5;;;4.6;22;21.03;
Q20;2019;010000024;010780054;M2020;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;010000024;010780054;M2030;4;;;;;;;;4;;;4;;;;;4;4;
Q20;2019;010000024;010780054;M2040;;;1;;;;;;0.3;;;;;;0.3;;1;0.3;
Q20;2019;010000024;010780054;M2050;1;6;1;;;;;;2.47;6.15;;6.6;2.02;;;;8;8.62;
Q20;2019;010000024;010780054;M2070;;;1;;;;;;1.03;;;;0.83;;0.2;;1;1.03;
Q20;2019;010000024;010780054;M2080;1;;1;1;;;;;1.4;0.4;;0.8;;;1;;3;1.8;
Q20;2019;010000024;010780054;M2100;4;;;;;;;;4;;;3;;;;1;4;4;
Q20;2019;010000024;010780054;M2120;3;;;;;;;;3;;;3;;;;;3;3;
Q20;2019;010000024;010780054;M2130;2;;;;;;;;2;;;2;;;;;2;2;
Q20;2019;010000024;010780054;M3012;1;3;;2;;;;;0.16;4.99;;2.4;;;0.26;2.49;6;5.15;
Q20;2019;010000024;010780054;M3030;1;;;1;;;;2;0.79;0.6;;0.6;;;;0.79;2;1.39;2
Q20;2019;010000024;010780054;M3040;1;1;;;;;;;0.86;0.62;;0.82;;;;0.66;2;1.48;
Q20;2019;010000024;010780054;M3050;3;7;1;;;;;;3.93;6.83;;6.27;2.16;;;2.33;11;10.76;
Q20;2019;010000024;010780054;M9999;71;61;18;30;;;4;7;80.54;74.63;;113.56;12.83;;7.38;21.4;180;155.17;11
Q20;2019;010000032;010780062;M1010;7;1;3;2;;;;;10.38;2.95;;9.03;;;2.25;2.05;13;13.33;
Q20;2019;010000032;010780062;M1030;1;;;;;;;;1;;;;;;;1;1;1;
Q20;2019;010000032;010780062;M1050;;;1;;;;;;0.2;;;;;;0.2;;1;0.2;
Q20;2019;010000032;010780062;M1090;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;010000032;010780062;M1120;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;010000032;010780062;M1140;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2019;010000032;010780062;M1160;;;;;;;;;0.75;;;0.75;;;;;;0.75;
Q20;2019;010000032;010780062;M1190;;;;;;;;;;0.3;;0.3;;;;;;0.3;
Q20;2019;010000032;010780062;M1200;;;;1;;;;;0.67;0.2;;0.67;;;0.2;;1;0.87;
Q20;2019;010000032;010780062;M2010;2;;;;;;;;2;;;1;1;;;;2;2;
Q20;2019;010000032;010780062;M2030;2;;;;;;;;2;;;1;1;;;;2;2;
Q20;2019;010000032;010780062;M2050;0;;2;;;;;;1.2;;;1.2;;;;;2;1.2;
Q20;2019;010000032;010780062;M2080;1;;;;;;;;1;;;;;;;1;1;1;
Q20;2019;010000032;010780062;M2120;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;010000032;010780062;M3050;1;1;;1;;;;;1;1.9;;1.9;0.58;;;0.42;3;2.9;
Q20;2019;010000032;010780062;M9999;17;3;6;4;;;;;23.2;6.35;;19.85;2.58;;2.65;4.47;30;29.55;
Q20;2019;010000065;010780096;M1010;4;;1;2;;;;;4.97;2.29;;3.29;1;;;2.97;7;7.26;
Q20;2019;010000065;010780096;M1040;;;1;;;;;;0.2;;;;;;0.2;;1;0.2;
Q20;2019;010000065;010780096;M1150;;;1;;;;;;0.1;;;0.1;;;;;1;0.1;
Q20;2019;010000065;010780096;M1160;;;1;;;;;;0.6;;;;;;0.6;;1;0.6;
Q20;2019;010000065;010780096;M1320;2;;;2;;;;;2;1.7;;2.7;;;;1;4;3.7;
Q20;2019;010000065;010780096;M3050;1;;1;1;;;;;1.07;0.5;;1.5;;;;0.07;3;1.57;
Q20;2019;010000065;010780096;M3060;1;;;;;;;;1;;;;;;;1;1;1;
Q20;2019;010000065;010780096;M9999;8;;5;5;;;;;9.94;4.49;;7.59;1;;0.8;5.04;18;14.43;
Q20;2019;010000081;010780112;M1010;;;3;1;;;;;1.22;0.4;;;;;1.62;;4;1.62;
Q20;2019;010000081;010780112;M3050;;1;;;;;;;;0.69;;0.69;;;;;1;0.69;
Q20;2019;010000081;010780112;M9999;;1;3;1;;;;;1.22;1.09;;0.69;;;1.62;;5;2.31;
Q20;2019;010000099;010780120;M1180;;;1;;;;;;0.09;;;0.09;;;;;1;0.09;
Q20;2019;010000099;010780120;M3070;;;1;1;;;;;0.34;0.48;;0.8;;;;0.02;2;0.82;
Q20;2019;010000099;010780120;M9999;;;2;1;;;;;0.43;0.48;;0.89;;;;0.02;3;0.91;
Q20;2019;010000107;010780138;M1320;;1;1;1;;;;;0.48;1.37;;1.85;;;;;3;1.85;
Q20;2019;010000107;010780138;M3050;;;;1;;;;;;0.48;;0.48;;;;;1;0.48;
Q20;2019;010000107;010780138;M9999;;1;1;2;;;;;0.48;1.85;;2.33;;;;;4;2.33;
Q20;2019;010000115;010009132;M1320;;;2;2;;;;;1.83;0.4;;1.98;;;;0.25;4;2.23;
Q20;2019;010000115;010009132;M3050;;;1;;;;;;0.07;;;0.07;;;;;1;0.07;
Q20;2019;010000115;010009132;M9999;;;3;2;;;;;1.9;0.4;;2.05;;;;0.25;5;2.3;
Q20;2019;010000131;010009132;M1320;;;;1;;;;;;0.4;;0.4;;;;;1;0.4;
Q20;2019;010000131;010009132;M3050;;;;1;;;;;0.02;;;0.02;;;;;1;0.02;
Q20;2019;010000131;010009132;M9999;;;;2;;;;;0.02;0.4;;0.42;;;;;2;0.42;
Q20;2019;010000180;010007987;M1010;1;;1;;;;;;1.2;0.16;;1;;;0.2;0.16;2;1.36;
Q20;2019;010000180;010007987;M9999;1;;1;;;;;;1.2;0.16;;1;;;0.2;0.16;2;1.36;
Q20;2019;010000198;010007987;M1010;1;;1;;;;;;1.52;0.87;;2.39;;;;;2;2.39;
Q20;2019;010000198;010007987;M1180;;2;1;;;;;;0.1;2;;2.1;;;;;3;2.1;
Q20;2019;010000198;010007987;M9999;1;2;2;;;;;;1.62;2.87;;4.49;;;;;5;4.49;
Q20;2019;010000214;010007987;M1010;3;;;1;;;;;2.38;0.7;;3.08;;;;;4;3.08;
Q20;2019;010000214;010007987;M1150;1;;1;;;;;;1.97;;;0.97;;;;1;2;1.97;
Q20;2019;010000214;010007987;M1320;2;;1;;;;;;1.12;;;0.88;;;;0.24;3;1.12;
Q20;2019;010000214;010007987;M3030;;;1;;;;;;0.3;;;;;;;0.3;1;0.3;
Q20;2019;010000214;010007987;M3050;;2;;;;;;;;2;;2;;;;;2;2;
Q20;2019;010000214;010007987;M3070;;;1;;;;;;;0.12;;0.12;;;;;1;0.12;
Q20;2019;010000214;010007987;M9999;6;2;4;1;;;;;5.77;2.82;;7.05;;;;1.54;13;8.59;
Q20;2019;010000495;010783009;M1010;2;7;2;4;;;;;2.78;8.67;;;;;;;15;11.45;
Q20;2019;010000495;010783009;M1320;0;1;;;;;;;;1;;;;;;;1;1;
Q20;2019;010000495;010783009;M2070;;;1;0;;;;;0.02;;;;;;;;1;0.02;
Q20;2019;010000495;010783009;M3020;9;14;12;13;;;;;17.14;21.31;;;;;;;48;38.45;
Q20;2019;010000495;010783009;M3030;;;0;1;;;;;;0.3;;;;;;;1;0.3;
Q20;2019;010000495;010783009;M3040;1;0;;;;;;;1;;;;;;;;1;1;
Q20;2019;010000495;010783009;M3050;0;2;;;;;;;;2.16;;;;;;;2;2.16;
Q20;2019;010000495;010783009;M3060;0;1;;;;;;;;0.96;;;;;;;1;0.96;
Q20;2019;010000495;010783009;M9999;12;25;15;18;;;;;20.94;34.4;;;;;;;70;55.34;
Q20;2019;010002129;750056335;M1010;3;1;;;;;;;2.87;0.15;;;;;;;4;3.02;
Q20;2019;010002129;750056335;M1120;;;;1;;;;;;0.06;;;;;;;1;0.06;
Q20;2019;010002129;750056335;M1180;;;;;;;;;0.04;0.11;;;;;;;;0.15;
Q20;2019;010002129;750056335;M1190;;;;1;;;;;0.7;;;;;;;;1;0.7;
Q20;2019;010002129;750056335;M1320;;;;;;;;;0.05;0.48;;;;;;;;0.53;
Q20;2019;010002129;750056335;M3011;;;;;;;1;;;;;;;;;;;;1
Q20;2019;010002129;750056335;M3040;;;;1;;;;;;0.2;;;;;;;1;0.2;
Q20;2019;010002129;750056335;M3050;;;1;1;;;;;0.72;0.45;;;;;;;2;1.17;
Q20;2019;010002129;750056335;M3060;;;;;;;;1;;;;;;;;;;;1
Q20;2019;010002129;750056335;M9999;3;1;1;4;;;1;1;4.38;1.45;;;;;;;9;5.83;2
Q20;2019;010005239;010008407;M1010;10;2;3;1;0;0;0;0;11.79;2.69;0;2.46;0;0;0.38;11.64;16;14.48;0
Q20;2019;010005239;010008407;M1030;2;0;3;0;0;0;0;0;5.11;0.22;0;0.6;0.83;0;0;3.9;5;5.33;0
Q20;2019;010005239;010008407;M1040;0;0;1;0;0;0;0;0;0.6;0;0;0.6;0;0;0;0;1;0.6;0
Q20;2019;010005239;010008407;M1090;1;0;1;0;0;0;0;0;1.5;0;0;1;0;0;0.5;0;2;1.5;0
Q20;2019;010005239;010008407;M1120;0;0;0;1;0;0;0;0;0;0.6;0;0;0;0;0.6;0;1;0.6;0
Q20;2019;010005239;010008407;M1140;1;0;2;0;0;0;0;0;2.25;0;0;1.9;0;0;0;0.35;3;2.25;0
Q20;2019;010005239;010008407;M1160;2;0;2;0;0;0;0;0;2.63;0;0;2.5;0;0;0;0.13;4;2.63;0
Q20;2019;010005239;010008407;M1190;0;0;0;0;0;0;0;0;0.03;0;0;0;0;0;0.03;0;0;0.03;0
Q20;2019;010005239;010008407;M1200;0;0;2;1;0;0;0;0;0.2;0.09;0;0;0;0;0.2;0.09;3;0.29;0
Q20;2019;010005239;010008407;M2010;2;1;0;0;0;0;0;0;2;1;0;3;0;0;0;0;3;3;0
Q20;2019;010005239;010008407;M2020;0;0;0;4;0;0;0;0;0;0.2;0;0;0;0;0.14;0.06;4;0.2;0
Q20;2019;010005239;010008407;M2030;3;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;3;3;0
Q20;2019;010005239;010008407;M2050;2;0;0;1;0;0;0;0;2.07;0.86;0;0.58;0;0;0;2.35;3;2.93;0
Q20;2019;010005239;010008407;M2070;0;0;0;1;0;0;0;0;0;0.6;0;0.6;0;0;0;0;1;0.6;0
Q20;2019;010005239;010008407;M2080;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0
Q20;2019;010005239;010008407;M2130;0;0;1;0;0;0;0;0;0.4;0;0;0;0;0;0.4;0;1;0.4;0
Q20;2019;010005239;010008407;M3011;2;0;0;0;0;0;0;0;2.25;0;0;1.97;0;0;0;0.28;2;2.25;0
Q20;2019;010005239;010008407;M3050;1;2;0;0;0;0;0;0;1;1.75;0;1.75;1;0;0;0;3;2.75;0
Q20;2019;010005239;010008407;M9999;26;6;15;9;0;0;0;0;34.83;9.01;0;20.96;1.83;0;2.25;18.8;56;43.84;0
Q20;2019;010005379;010010718;M1010;1;;;;;;;;1;;;;;;;;1;1;
Q20;2019;010005379;010010718;M3050;;;;1;;;;;;0.4;;;;;;;1;0.4;
Q20;2019;010005379;010010718;M9999;1;;;1;;;;;1;0.4;;;;;;;2;1.4;
Q20;2019;010006526;690796552;M1110;;;0;1;;;;;;0.25;;;;;;;1;0.25;
Q20;2019;010006526;690796552;M9999;;;0;1;;;;;;0.25;;;;;;;1;0.25;
Q20;2019;010007300;010007292;M1030;;;;;;;4;2;;;;;;;;;;;6
Q20;2019;010007300;010007292;M1040;;;;;;;1;;;;;;;;;;;;1
Q20;2019;010007300;010007292;M1090;;;;;;;1;;;;;;;;;;;;1
Q20;2019;010007300;010007292;M1200;;;;;;;1;;;;;;;;;;;;1
Q20;2019;010007300;010007292;M2040;;;;;;;;1;;;;;;;;;;;1
Q20;2019;010007300;010007292;M2070;;;;;;;1;3;;;;;;;;;;;4
Q20;2019;010007300;010007292;M2110;;;;;;;1;;;;;;;;;;;;1
Q20;2019;010007300;010007292;M9999;;;;;;;9;6;;;;;;;;;;;15
Q20;2019;010008852;010783009;M1010;1;;;;;;;;1;;;;;;;;1;1;
Q20;2019;010008852;010783009;M1180;;;1;;;;;;0.25;;;;;;;;1;0.25;
Q20;2019;010008852;010783009;M3050;;;;1;;;;;;0.05;;;;;;;1;0.05;
Q20;2019;010008852;010783009;M9999;1;;1;1;;;;;1.25;0.05;;;;;;;3;1.3;
Q20;2019;010009314;010780054;M1030;;;;;;;;;;0.13;;;;;0.13;;;0.13;
Q20;2019;010009314;010780054;M1150;;;;1;;;;;;0.1;;0.1;;;;;1;0.1;
Q20;2019;010009314;010780054;M1180;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2019;010009314;010780054;M1320;;;;6;;;;;;4.33;;4.33;;;;;6;4.33;
Q20;2019;010009314;010780054;M9999;;1;;7;;;;;;5.56;;5.43;;;0.13;;8;5.56;
Q20;2019;010010171;010011559;M1010;;1;;;;;;;;1;;;;;;;1;1;
Q20;2019;010010171;010011559;M3020;;;;;;;2;2;;;;;;;;;;;4
Q20;2019;010010171;010011559;M9999;;1;;;;;2;2;;1;;;;;;;1;1;4
Q20;2019;010780195;010000156;M1010;;;;;1;1;;;;;;;;;;;;;2
Q20;2019;010780195;010000156;M1030;;;;;11;1;;;;;;;;;;;;;12
Q20;2019;010780195;010000156;M1040;;;;;8;2;;;;;;;;;;;;;10
Q20;2019;010780195;010000156;M1090;;;;;1;2;;;;;;;;;;;;;3
Q20;2019;010780195;010000156;M1130;;;;;;;1;;;;;;;;;;;;1
Q20;2019;010780195;010000156;M1150;;;;;3;1;;;;;;;;;;;;;4
Q20;2019;010780195;010000156;M1160;;;;;;;13;2;;;;;;;;;;;15
Q20;2019;010780195;010000156;M1190;;;;;;;;1;;;;;;;;;;;1
Q20;2019;010780195;010000156;M1200;;;;;;;;1;;;;;;;;;;;1
Q20;2019;010780195;010000156;M1210;;;;;;;7;;;;;;;;;;;;7
Q20;2019;010780195;010000156;M1340;;;;;5;1;;;;;;;;;;;;;6
Q20;2019;010780195;010000156;M2020;;;;;;;2;1;;;;;;;;;;;3
Q20;2019;010780195;010000156;M2030;;;;;3;;2;;;;;;;;;;;;5
Q20;2019;010780195;010000156;M2040;;;;;;;2;1;;;;;;;;;;;3
Q20;2019;010780195;010000156;M2050;;;;;1;4;;;;;;;;;;;;;5
Q20;2019;010780195;010000156;M2060;;;;;;;1;1;;;;;;;;;;;2
Q20;2019;010780195;010000156;M2070;;;;;;;6;;;;;;;;;;;;6
Q20;2019;010780195;010000156;M2080;;;;;1;1;1;1;;;;;;;;;;;4
Q20;2019;010780195;010000156;M2100;;;;;3;;;;;;;;;;;;;;3
Q20;2019;010780195;010000156;M2120;;;;;2;;;;;;;;;;;;;;2
Q20;2019;010780195;010000156;M2130;;;;;1;;;;;;;;;;;;;;1
Q20;2019;010780195;010000156;M3050;1;1;;;;;;;1;1;;;;;;;2;2;
Q20;2019;010780195;010000156;M9999;1;1;;;40;13;35;8;1;1;;;;;;;2;2;96
Q20;2019;010780203;010010718;M1010;;;;;8;;;;;;;;;;;;;;8
Q20;2019;010780203;010010718;M1030;;;;;4;;;;;;;;;;;;;;4
Q20;2019;010780203;010010718;M1070;;;;;1;;;;;;;;;;;;;;1
Q20;2019;010780203;010010718;M1090;;;;;;2;;;;;;;;;;;;;2
Q20;2019;010780203;010010718;M1140;1;;;;1;;;;0.2;;;;;;;;1;0.2;1
Q20;2019;010780203;010010718;M1150;;;;;;;1;;;;;;;;;;;;1
Q20;2019;010780203;010010718;M1320;2;;;;;;;;1.68;;;;;;;;2;1.68;
Q20;2019;010780203;010010718;M2020;;;;;;;2;;;;;;;;;;;;2
Q20;2019;010780203;010010718;M2030;;;;;2;1;;;;;;;;;;;;;3
Q20;2019;010780203;010010718;M2040;;;;;;;1;;;;;;;;;;;;1
Q20;2019;010780203;010010718;M2050;;;1;;4;2;;;;0.63;;;;;;;1;0.63;6
Q20;2019;010780203;010010718;M2070;;;;;;2;;;;;;;;;;;;;2
Q20;2019;010780203;010010718;M2080;;;;;;;3;;;;;;;;;;;;3
Q20;2019;010780203;010010718;M2100;;;;;;;3;;;;;;;;;;;;3
Q20;2019;010780203;010010718;M2120;;;;;1;;1;1;;;;;;;;;;;3
Q20;2019;010780203;010010718;M2130;;;;;;;3;;;;;;;;;;;;3
Q20;2019;010780203;010010718;M3050;;1;;;;;;;;1.18;;;;;;;1;1.18;
Q20;2019;010780203;010010718;M9999;3;1;1;;21;7;14;1;1.88;1.81;;;;;;;5;3.69;43
Q20;2019;010780252;010783009;M1010;1;;;;;;;;0.91;1;;;;;;;1;1.91;
Q20;2019;010780252;010783009;M1180;2;;1;;;;;;0.35;0.83;;;;;;;3;1.18;
Q20;2019;010780252;010783009;M3050;;;;1;;;;;;0.46;;;;;;;1;0.46;
Q20;2019;010780252;010783009;M3070;;;;1;;;;;;0.08;;;;;;;1;0.08;
Q20;2019;010780252;010783009;M9999;3;;1;2;;;;;1.26;2.37;;;;;;;6;3.63;
Q20;2019;010780278;010783009;M1010;1;;;;;;;;1;;;;;;;;1;1;
Q20;2019;010780278;010783009;M1120;;;;;;;;;0.25;;;;;;;;;0.25;
Q20;2019;010780278;010783009;M1180;1;1;1;1;;;;;1.54;1.48;;;;;;;4;3.02;
Q20;2019;010780278;010783009;M3050;;;;1;;;;;;0.46;;;;;;;1;0.46;
Q20;2019;010780278;010783009;M3070;;;;1;;;;;;0.08;;;;;;;1;0.08;
Q20;2019;010780278;010783009;M9999;2;1;1;3;;;;;2.79;2.02;;;;;;;7;4.81;
Q20;2019;010780294;690000278;M1110;1;1;1;;;;;;1.84;1.03;;;;;;;3;2.87;
Q20;2019;010780294;690000278;M3040;;;;;;;;;0.16;;;;;;;;;0.16;
Q20;2019;010780294;690000278;M3050;;;1;;;;;;0.8;0.09;;;;;;;1;0.89;
Q20;2019;010780294;690000278;M9999;1;1;2;;;;;;2.8;1.12;;;;;;;4;3.92;
Q20;2019;010780310;010000222;M1150;1;;;;;;;;1;;;;;;;;1;1;
Q20;2019;010780310;010000222;M3050;;;;1;;;;;;0.55;;;;;;;1;0.55;
Q20;2019;010780310;010000222;M9999;1;;;1;;;;;1;0.55;;;;;;;2;1.55;
Q20;2019;010780328;010000222;M1150;1;;;;;;;;1;;;;;;;;1;1;
Q20;2019;010780328;010000222;M1180;1;;;;;;;;0.63;;;;;;;;1;0.63;
Q20;2019;010780328;010000222;M3050;;;;1;;;;;;0.51;;;;;;;1;0.51;
Q20;2019;010780328;010000222;M9999;2;;;1;;;;;1.63;0.51;;;;;;;3;2.14;
Q20;2019;010780476;750005068;M1140;1;1;;;;;;;0.93;1;;;;;;;2;1.93;
Q20;2019;010780476;750005068;M3020;2;1;;;;;;;1.77;0.33;;;;;;;3;2.1;
Q20;2019;010780476;750005068;M3050;;;;2;;;;;;0.6;;;;;;;2;0.6;
Q20;2019;010780476;750005068;M9999;3;2;;2;;;;;2.7;1.93;;;;;;;7;4.63;
Q20;2019;010780492;360000707;M1140;;;;2;;;;;;0.78;;;;;;;2;0.78;
Q20;2019;010780492;360000707;M1180;;4;3;;;;;;1.39;4;;;;;;;7;5.39;
Q20;2019;010780492;360000707;M1200;;;;1;;;;;;0.2;;;;;;;1;0.2;
Q20;2019;010780492;360000707;M3050;;;;1;;;;;;0.57;;;;;;;1;0.57;
Q20;2019;010780492;360000707;M9999;;4;3;4;;;;;1.39;5.55;;;;;;;11;6.94;
Q20;2019;010780708;310021381;M1010;;1;1;2;;;;;0.4;2.6;;;;;;;4;3;
Q20;2019;010780708;310021381;M3050;;;;1;;;;;;0.5;;;;;;;1;0.5;
Q20;2019;010780708;310021381;M9999;;1;1;3;;;;;0.4;3.1;;;;;;;5;3.5;
Q20;2019;010780799;750721334;M1010;1;;;;;;;;1;;;;;;;;1;1;
Q20;2019;010780799;750721334;M3050;;;;1;;;;;;0.5;;;;;;;1;0.5;
Q20;2019;010780799;750721334;M9999;1;;;1;;;;;1;0.5;;;;;;;2;1.5;
Q20;2019;010786259;010008407;M1010;1;0;0;0;0;0;0;0;0.65;0;0;0.65;0;0;0;0;1;0.65;0
Q20;2019;010786259;010008407;M3050;0;1;0;0;0;0;0;0;0;0.05;0;0.05;0;0;0;0;1;0.05;0
Q20;2019;010786259;010008407;M9999;1;1;0;0;0;0;0;0;0.65;0.05;0;0.7;0;0;0;0;2;0.7;0
Q20;2019;010789576;010780096;M1320;;;;1;;;;;;0.5;;0.5;;;;;1;0.5;
Q20;2019;010789576;010780096;M3050;;;;1;;;;;;0.2;;0.2;;;;;1;0.2;
Q20;2019;010789576;010780096;M9999;;;;2;;;;;;0.7;;0.7;;;;;2;0.7;
Q20;2019;010789717;010008407;M1010;0;1;0;0;0;0;0;0;0.15;0.5;0;0.15;0;0;0;0.5;1;0.65;0
Q20;2019;010789717;010008407;M3050;0;1;0;0;0;0;0;0;0;0.05;0;0.05;0;0;0;0;1;0.05;0
Q20;2019;010789717;010008407;M9999;0;2;0;0;0;0;0;0;0.15;0.55;0;0.2;0;0;0;0.5;2;0.7;0
Q20;2019;020000089;020000022;M1010;0;1;2;0;0;0;0;0;1.1;1;0;1;0;0;1.1;0;3;2.1;0
Q20;2019;020000089;020000022;M1040;0;0;1;0;0;0;0;0;0.19;0;0;0;0;0;0.19;0;1;0.19;0
Q20;2019;020000089;020000022;M1050;0;0;1;0;0;0;0;0;0.4;0;0;0;0;0;0;0.4;1;0.4;0
Q20;2019;020000089;020000022;M1320;0;0;1;1;0;0;0;0;0.5;0.6;0;0.6;0;0;0.5;0;2;1.1;0
Q20;2019;020000089;020000022;M2080;0;0;1;0;0;0;0;0;0.1;0;0;0;0;0;0.1;0;1;0.1;0
Q20;2019;020000089;020000022;M3050;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0
Q20;2019;020000089;020000022;M9999;2;1;6;1;0;0;0;0;4.29;1.6;0;3.6;0;0;1.89;0.4;10;5.89;0
Q20;2019;020000097;020000048;M1050;;;1;;;;;;0.3;;;;;;0.3;;1;0.3;
Q20;2019;020000097;020000048;M1180;2;;;;;;;;1.5;;;1.5;;;;;2;1.5;
Q20;2019;020000097;020000048;M1320;1;2;;;;;;;1;2;;2;;;1;;3;3;
Q20;2019;020000097;020000048;M2070;;;1;;;;;;0.3;;;;;;0.3;;1;0.3;
Q20;2019;020000097;020000048;M2080;;;1;;;;;;0.3;;;;;;0.3;;1;0.3;
Q20;2019;020000097;020000048;M3020;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;020000097;020000048;M3040;;;1;;;;;;0.4;;;;;;0.4;;1;0.4;
Q20;2019;020000097;020000048;M3050;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;020000097;020000048;M9999;5;2;4;;;;;;5.8;2;;5.5;;;2.3;;11;7.8;
Q20;2019;020000105;020000055;M1010;1;;2;;;;1;;2.06;;;;;;1;1.06;3;2.06;1
Q20;2019;020000105;020000055;M1040;;;1;;;;;;0.1;;;;;;0.1;;1;0.1;
Q20;2019;020000105;020000055;M1190;;;2;;;;;;0.15;;;;;;0.15;;2;0.15;
Q20;2019;020000105;020000055;M2100;;;;;;;1;;;;;;;;;;;;1
Q20;2019;020000105;020000055;M3040;;;;;;;1;1;;;;;;;;;;;2
Q20;2019;020000105;020000055;M3060;;;;;;;;1;;;;;;;;;;;1
Q20;2019;020000105;020000055;M3070;;;2;;;;1;;0.12;;;;;;0.12;;2;0.12;1
Q20;2019;020000105;020000055;M9999;1;;7;;;;4;2;2.43;;;;;;1.37;1.06;8;2.43;6
Q20;2019;020000162;020000063;M1010;1;2;1;0;0;0;0;0;1.18;2;0;1;0;0;1.18;1;4;3.18;0
Q20;2019;020000162;020000063;M1020;0;1;1;2;0;0;0;0;0.1;2.8;0;2.8;0;0;0.1;0;4;2.9;0
Q20;2019;020000162;020000063;M1030;3;0;1;0;0;0;0;0;4.96;0;0;3.33;0;0;0;1.63;4;4.96;0
Q20;2019;020000162;020000063;M1031;2;1;0;0;0;0;0;0;2;0.17;0;2;0;0;0;0.17;3;2.17;0
Q20;2019;020000162;020000063;M1040;8;1;1;1;0;0;0;0;8.1;2.7;0;8.7;0;0;1.1;1;11;10.8;0
Q20;2019;020000162;020000063;M1050;1;2;0;3;0;0;0;0;1;2.72;0;1.4;1;0;1.32;0;6;3.72;0
Q20;2019;020000162;020000063;M1070;3;1;0;1;0;0;0;0;3.75;1.2;0;3;0.83;0;0.37;0.75;5;4.95;0
Q20;2019;020000162;020000063;M1090;1;2;0;0;0;0;0;0;1;3;0;1;0;0;3;0;3;4;0
Q20;2019;020000162;020000063;M1100;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;2;2;0
Q20;2019;020000162;020000063;M1110;5;1;0;0;0;0;0;0;5.75;1;0;5.25;0;0;0.75;0.75;6;6.75;0
Q20;2019;020000162;020000063;M1120;4;0;1;0;0;0;0;0;3.85;0;0;2.6;0;0;0;1.25;5;3.85;0
Q20;2019;020000162;020000063;M1130;2;3;1;0;0;0;0;0;2.83;2.42;0;3;0;0;1.25;1;6;5.25;0
Q20;2019;020000162;020000063;M1140;3;7;2;6;0;0;0;0;3.07;9.83;0;10;1.5;0;1.4;0;18;12.9;0
Q20;2019;020000162;020000063;M1150;2;2;3;0;0;0;0;0;3.4;2;0;4;0;0;0.2;1.2;7;5.4;0
