BOR;AN;FI;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2017;010000024;010780054;GEN;330;780;1;IAO;39882;5024;11220;8809;2623;1451;5;2;;;;;133;14;2;;10;3650;3254;500;2826;1;1
URGENCES2;2017;010000032;010780062;GEN;163;151;0;;16822;2327;5222;3996;1405;631;5;0;0;0;0;0;173;28;6;;4;1460;437;83;383;1;1
URGENCES2;2017;010005239;010008407;GEN;252;252;1;IAO;21136;1731;5383;3379;874;902;2;0;2;0;0;0;590;69;57;;8;2920;1813;306;1824;1;0
URGENCES2;2017;010780195;010000156;GEN;189;345;1;IAO;20701;1102;2825;3830;538;49;;;;;;;;;;;4;;1816;1242;596;1;0
URGENCES2;2017;010780203;010010718;GEN;336;336;1;IAO;26251;2651;6858;1601;;;0;0;0;0;0;0;0;0;0;;8;2920;2379;583;2052;1;1
URGENCES2;2017;020000162;020000063;GEN;554;979;1;IAO;34622;5144;93;10455;3299;17;633;0;0;0;0;0;983;438;1;;10;3650;4665;878;4687;0;0
URGENCES2;2017;020000162;020000063;PED;252;105;0;;18540;;;;;;;;;;;;;;;2272;0;0;0;0;0;;
URGENCES2;2017;020000394;020000253;GEN;368;924;1;IAO;30020;3356;4257;6937;1876;59;;;;;;;;228;0;;4;1460;1484;321;1316;1;1
URGENCES2;2017;020000394;020000253;PED;168;168;0;;8419;;;;;;;;;;;;;;;857;;;0;0;0;;
URGENCES2;2017;020000519;020000261;GEN;510;854;1;IAO;33842;4469;5511;7469;2547;119;325;52;;;;;260;80;25;;4;1460;1309;484;1155;1;0
URGENCES2;2017;020000519;020000261;PED;510;854;1;IAO;11067;;;;;;;;;;;;;;;1403;;;0;0;0;;
URGENCES2;2017;020000535;020000287;GEN;168;354;1;IAO;19719;2166;4135;4286;1365;2671;1;1;;;;;480;;;;6;;1114;245;927;1;1
URGENCES2;2017;020001061;020004404;GEN;266;416;1;IAO;32910;3058;11308;5982;1886;650;;;;;;;1042;358;43;;4;1460;3563;2551;1027;1;0
URGENCES2;2017;020001087;020004495;GEN;168;203;1;IAO;12716;3709;348;2631;;;68;;;0;;;606;;;;4;1367;1846;1184;678;1;1
URGENCES2;2017;020010047;020001632;GEN;168;168;0;;10570;;;1369;;;;;;;;;;;;;6;2190;561;509;53;1;0
URGENCES2;2017;030000061;030780092;GEN;336;672;1;IAO;39002;3516;11086;10048;1590;2856;12;2;4;19;2;0;0;0;0;;8;2920;2228;734;1614;1;1
URGENCES2;2017;030000079;030780100;GEN;252;420;1;IAO;47112;5377;16889;11840;3798;1513;228;12;0;0;0;0;77;14;9;;6;;3960;1461;2633;1;1
URGENCES2;2017;030000087;030780118;GEN;336;676;1;IAO;33331;5029;6397;9770;3195;1016;88;4;1;;;;;;;;10;3650;4699;1140;4562;1;0
URGENCES2;2017;030781116;030000426;GEN;168;252;1;IAO;9941;888;928;2611;;;10;;;0;;;0;;;;0;0;0;0;0;1;1
URGENCES2;2017;040000093;040780215;GEN;476;752;1;IAO;34360;3767;9153;6367;1718;790;;;;;;;1134;265;87;;8;2920;3054;1029;2283;1;1
URGENCES2;2017;040000135;050002948;GEN;336;240;0;;17185;1761;4022;1107;599;88;7;4;0;11;9;0;671;259;10;;4;1460;1285;347;996;0;0
URGENCES2;2017;040000911;040788879;GEN;265;529;1;IAO;19733;2908;2882;4218;1146;264;210;10;5;;;;112;;;;4;1460;1792;724;1189;1;0
URGENCES2;2017;050000231;050000116;GEN;210;252;1;IAO;20897;1364;5156;4290;;;;;;;;;;;;;2;730;1250;840;413;1;1
URGENCES2;2017;050000256;050000124;GEN;168;168;;;9197;795;2447;586;298;5;;;;;;;381;52;55;;2;;316;141;178;;
URGENCES2;2017;050000348;050002948;GEN;628;525;1;IAO;27725;3644;5297;5065;1688;882;4;3;0;;1;0;2860;1113;71;;9;3285;3985;1619;2486;1;1
URGENCES2;2017;060000478;060780897;GEN;559;122;1;IAO;47964;5659;17695;8531;3250;1142;283;10;1;0;0;0;586;105;91;;9;2920;1567;819;783;1;0
URGENCES2;2017;060000510;060780954;GEN;694;728;1;IAO;53702;6828;7213;8904;3155;581;621;54;3;;;;413;111;35;;12;4380;3334;707;3933;0;0
