BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2019;030001689;030005821;0;1;0;14800;;14177;;;;;;;;;;;;;;;;2;;0;623;14177;1361;;;602;;2;2;3;1;3;;;;3;;;2;2;5.2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;030780548;030000194;1;0;1;394;0;161;1284;0;1;;;;76;0;0;76;0;18;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;32;0;0;0;0;0;0;0;0;0;0;;;1;;0.24;;;;;;;2;;;1;;0.74;;;0.1;
CANCERO;2019;030781116;030000426;1;0;1;6821;0;6006;9120;0;1;;;;4618;0;92;5616;0;575;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;5714;;;;0;;;;;;;3;1;;;3;1;4;;1;;1;;;;1;1;4;;0.8;0.5;1.5
CANCERO;2019;030785430;030785422;1;0;1;1256;0;725;2597;0;1;;;;1034;0;379;617;0;124;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;0;916;0;0;0;0;0;0;0;0;0;0;1;;1;1;1.2;0.5;1;;;;;4;;;;;2.36;;;;
CANCERO;2019;040000093;040780215;1;0;1;4066;0;3873;2303;0;0;040788879;;;3913;0;0;3857;0;370;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;4794;0;0;0;20;0;0;0;0;0;0;0;0;2;0;1.24;0;8;1;0;0;1;2;0;1;0;0;4.99;0.25;0.26;0;1
CANCERO;2019;040000911;040788879;1;0;1;1163;0;1091;744;0;1;;;;1124;0;17;1075;0;131;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;3;13;;;7;2074;0;0;0;4;0;0;7;0;0;0;;;1;5;0.65;3.3;11;9;;;6;8;1;;;3;18;9.81;;;7.4
CANCERO;2019;040780470;040000192;0;0;0;371;0;307;225;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;050000090;050006931;0;0;0;753;0;540;555;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;050000231;050000116;1;0;0;812;0;746;372;0;0;050000348;;;734;0;3;700;0;100;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;050000348;050002948;1;0;1;6177;0;5557;4253;0;1;;;;5735;0;123;5472;0;686;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;3;6659;0;0;0;8;0;0;6;0;0;0;1;80;0;2;0.4;2.33;5;3;0;0;2;7;4;0;0;1;7.14;3.95;0;0;1.93
CANCERO;2019;050007533;130784127;0;1;0;9462;0;9042;0;0;;;;;;;;;;;;;;1;0;;420;9042;0;0;0;421;0;2;1;6;;3;0;1;2;1;;1;1.66;1.84;6.5;;4.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060000478;060780897;1;0;1;3277;35;2845;3534;103;1;;;;2860;0;36;2748;0;345;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;0;2456;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0.27;0.7;5;1;0;0;0;1;0;0;0;0;3.85;1;0;0;0
CANCERO;2019;060000510;060780954;1;0;0;2592;0;2216;3582;0;1;;;;2403;0;148;2141;0;302;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060000528;060780962;1;1;1;63841;0;59601;23013;0;1;;;;19791;0;1665;17736;0;2257;0;3;0;7;1;3;2832;37235;544;371;412;2337;285;10;12;32;6;17;35;4;1;6;1;3;7.76;10.93;37.41;6.11;24.71;82;43;29;13;5142;18525;2463;1135;7;5;1;1;23959;5798;39;0;12;24;1;5;5.51;10.88;110;79;1;3;24;10;3;0;0;2;97.17;73.19;0.5;3.37;16.94
CANCERO;2019;060000544;060780988;1;0;1;3590;1;2983;4967;2;1;;;;3046;1;275;2653;2;388;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;3210;0;0;0;1;0;0;0;0;0;0;1;1;;1;1.83;1.6;1;1;;;1;4;0;;;;2.3;0.5;;;1.11
CANCERO;2019;060019627;060019551;0;1;0;58587;;55825;0;;;;;;;;;;;;;;;5;1;;2762;55825;;0;;2609;;4;4;23;3;5;;1;1;2;1;1;4.33;4.1;23.6;3.8;5.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060021342;060003621;0;1;0;18198;;17171;0;;;;;;;;;;;;;;;2;0;0;1027;17171;0;0;0;919;0;5;4;12;1;13;0;1;0;0;;3;5.75;4;12;1;14.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060780442;060000213;0;0;0;476;0;412;85;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060780491;060790797;1;0;0;939;0;313;3897;0;0;060780517;;;25;0;0;0;0;20;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060780517;060000239;1;0;1;9532;0;8878;4728;0;1;;;;8468;0;159;8218;0;874;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;0;8218;0;0;0;0;0;0;0;0;0;0;;;4;1;0;0;2;;;;;3;;1;1;;3.87;;0.47;0.17;
