BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2019;120000054;120780069;1;0;1;1795;0;1610;1532;0;1;;;;1561;0;11;1514;0;170;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;1514;;;;;;;;;;;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;2.75;1.5;0.5;0;0
CANCERO;2019;120004569;120004528;1;0;0;236;0;130;342;0;0;340780493;;;80;0;1;77;0;22;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130000409;130041916;1;0;0;9428;0;8372;7265;0;1;;;;8569;0;158;8362;0;885;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130000565;130781446;1;0;0;636;8;536;364;8;0;130786049;;;528;8;25;496;8;55;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130001225;130782634;1;0;0;2259;0;2122;1201;0;1;;;;2136;0;14;2099;0;222;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130001647;130784127;1;1;1;77792;13;68726;56038;21;1;;;;37342;13;4221;31472;21;4659;3;0;0;4;0;2;2081;32174;440;303;318;1799;358;6;6;25;3;8;0;3;2;2;1;;7.91;7.13;24.83;4;8.08;191;51;80;20;9645;36797;4488;7511;6;0;2;2;42307;16093;23;6;68;;35;;83.77;;247;98;5;6;63;26;3;1;1;3;258.72;96.75;5.33;6.46;66.8
CANCERO;2019;130002827;130789274;1;0;1;2494;0;2273;2072;0;1;;;;2319;0;61;2209;0;235;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANCERO;2019;130002835;130789316;1;0;0;3321;0;2787;3709;0;1;;;;2877;0;214;2554;0;343;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130008253;130001084;0;0;0;180;0;143;38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130034580;130034572;0;1;0;33207;;32007;0;;;;;;;;;;;;;;;3;0;0;1200;32007;;0;;1192;0;3;4;14;2;5;0;;;2;;1;3;4;15.37;2;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130037922;130037823;1;0;0;312;0;202;308;0;0;130784051;;;108;0;0;108;0;25;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130043664;130002157;1;0;0;9288;0;7400;13157;0;1;;;;7596;0;291;7089;0;923;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130044753;130810336;0;0;0;94;0;90;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130780521;130786049;1;1;1;30067;0;26648;19657;0;1;;;;10217;0;1460;8349;0;1302;0;0;0;1;;;947;17002;174;0;0;785;0;;;15;;13;30;4;4;4;;;1.41;3.4;15.18;;11.54;51;12;5;1;3540;7210;290;21;3;0;7;0;13152;1162;17;14;2;4;1;6;2.57;3.63;28;11;1;;8;1;3;;;2;28.56;12.7;1.42;;8.66
CANCERO;2019;130781289;130002447;1;0;1;3483;0;3323;1884;0;1;;;;3289;0;57;3160;0;509;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;235;3163;0;0;0;0;0;0;2963;0;0;0;;;;;0.83;;;;;;;;;;;;2.71;;0.1;;1.42
CANCERO;2019;130781370;130000532;1;0;0;422;0;295;534;0;0;840000350;;;36;0;0;36;0;7;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130781479;130000599;1;0;1;3774;0;3354;3856;0;1;;;;3194;0;2;3157;0;291;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;0;3369;0;0;0;4;0;0;0;0;0;0;;;5;;2.5;;3;;;;;1;;1;1;;3.8;;0.5;0.2;
CANCERO;2019;130782147;130000979;0;0;0;266;0;72;1889;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130782162;130000987;0;0;0;103;0;32;394;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130782675;130001233;1;0;0;375;0;263;544;0;0;130001225;;;39;0;0;39;0;6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130783236;130786049;1;1;0;6272;40;4434;13482;55;1;;;;4766;40;318;4238;55;502;8;0;0;;;;0;0;10;0;0;9;0;1;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130783293;130786049;1;1;1;36840;0;32707;22952;0;1;;;;14191;0;1491;10895;0;1860;0;0;0;3;;;1040;19497;1540;0;629;1856;590;4;;26;;18;25;4;;1;;1;4.18;;25.12;;19.19;46;26;;;2821;10578;0;0;0;6;0;0;11771;0;0;0;6;9;2;6;4.45;9.82;60;39;2;;16;15;1;3;;3;66.89;30.38;3.69;;12.04
CANCERO;2019;130783327;130001415;0;0;0;319;0;149;940;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130783665;130043722;1;0;1;306;0;279;146;0;0;130043664;130784713;;130;0;0;128;0;19;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;0;128;0;0;0;0;0;0;0;0;0;0;;;3;;0.42;;;;;;;2;;1;1;;0.48;;0.2;0.2;
CANCERO;2019;130783723;130001456;0;0;0;269;0;252;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130784051;130037823;1;1;1;6992;0;6109;9928;0;1;;;;6143;0;87;5970;0;790;0;0;0;4;1;1;2700;37829;54;0;13;2195;0;0;6;19;4;12;0;8;1;2;0;1;4.3;6.6;20.6;4;12.5;21;22;;;111;6158;0;0;0;0;0;0;1404;0;0;0;;;2;;1;;12;6;1;1;;2;1;;;;16.52;9.77;1;1;
CANCERO;2019;130784234;130786049;1;0;0;13;0;9;92;0;0;130783293;;;12;0;0;8;0;6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130784713;130038847;1;1;1;6404;0;5577;6486;0;1;;;;5561;0;7;5445;0;551;0;0;0;2;1;0;594;14760;;0;0;583;0;;2;8;2;3;0;9;1;2;;1;2.8;2.8;9.6;2;3.2;;22;;;0;5587;0;0;0;0;0;0;0;0;0;0;;5;5;1;2.5;5.5;5;;1;;;;;;;;5.42;;1;;
CANCERO;2019;130785389;130002173;0;0;0;135;0;50;474;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130785652;130014228;1;0;1;12585;164;10518;15096;164;1;;;;10879;164;566;10059;164;1051;15;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;28;;;176;10111;0;0;0;0;0;0;940;0;0;0;;4;5;;3.9;3.49;14;;1;;11;2;;;;1;11.92;;1;;9.39
CANCERO;2019;130785678;130002249;1;0;1;2089;0;1898;3627;0;1;;;;1950;0;0;1865;0;156;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;0;1866;0;0;0;0;0;0;0;0;0;0;;;2;4;1;2;2;;;;;;;1;;;2.54;;0.5;;
CANCERO;2019;130786361;130002447;1;0;1;6068;0;4890;8358;0;1;;;;4610;0;60;4401;0;613;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;25;25;;;333;4409;0;0;0;0;0;0;3783;0;0;0;3;;2;1;0.2;;8;;;;1;1;;3;;1;3.87;0.37;1.46;;0.46
CANCERO;2019;130786445;130002488;0;0;0;154;0;103;108;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130786742;750821092;1;0;0;131;0;67;916;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;130804297;130786049;1;1;1;4269;0;3313;9192;0;0;130783293;;;3339;0;537;2420;0;8;0;253;0;0;0;8;0;0;32;0;0;1;0;;;;;3;25;;;;;8;1;;;;9.55;;;;;;;;;;;;;;;;;0;5;;9;;5.12;;;;;;;;;;;;;;;
CANCERO;2019;130810740;130007362;0;0;0;769;0;380;2921;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;140000027;140000035;1;0;0;2040;56;1870;1766;56;1;;;;1970;56;31;1886;56;270;11;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;140000209;140000100;1;0;1;16367;0;12929;30940;0;1;;;;14122;0;949;12499;0;1744;0;59;0;;;;;;;;;;;;;;;;;;;;;;;;;;;7;4;;;204;1326;0;0;201;1295;0;0;978;0;961;0;;2;;;;1.5;7;4;1;;4;3;;;;3;7.81;2.91;0.5;;6.08
CANCERO;2019;140000233;140000118;1;0;0;151;0;84;375;0;0;;;;32;0;0;32;0;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;140000290;140000449;0;0;0;153;0;29;598;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;140000373;140000159;1;0;0;253;0;251;17;0;0;610780165;140000639;;253;0;0;251;0;39;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;140000555;140000639;1;1;1;77610;0;74623;21306;0;1;;;;21184;0;953;19719;0;2686;0;0;0;7;0;4;2917;50668;951;367;350;2806;443;16;14;48;6;11;25;;1;4;;4;12.7;12.81;49.18;7.79;11.38;110;48;32;10;3763;21433;1927;2553;8;4;0;4;31222;6718;34;0;30;;16;;36.28;;140;58;;2;;38;25;4;1;;158.31;61.6;2.33;3.3;
CANCERO;2019;140016759;140003146;1;0;1;5923;0;4645;7595;0;1;;;;4854;0;387;4431;0;616;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;30;15;;;1297;4854;;;;;;;9413;;;;1;4;;;1;4;29;29;1;1;2;7;6;;;;15.11;9.55;0.59;0.4;1.76
CANCERO;2019;140017237;140003278;0;0;0;1080;0;397;3751;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;140018730;140000423;0;0;0;566;0;310;1072;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;140024886;140000092;1;0;1;1637;0;1506;1675;0;1;;;;1495;0;11;1451;0;183;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1510;0;0;0;0;0;0;0;0;0;0;1;;1;;1.3;;3;;;;;2;;1;2;2;3.4;;0.08;0.4;1.6
CANCERO;2019;140026709;140000415;1;0;0;238;25;143;496;25;0;140000027;;;;25;;;25;;5;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;140027731;720020171;0;1;0;16515;;15899;0;;;;;;;;;;;;;;;2;0;;616;15899;;;;563;;2;1;7;1;;0;;2;3;1;1;2;2.6;8.4;1.5;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;140030891;140000639;0;1;0;1946;0;1946;0;0;;;;;;;;;;;;;;1;0;;0;1946;0;0;0;72;0;8;3;10;1;4;19;;;1;;;2.1;3.32;5.77;1;3.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;150000032;150780088;1;0;0;450;0;395;741;0;0;150780096;630780989;630000479;406;0;4;389;0;52;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;150000040;150780096;1;0;1;3941;108;3328;4673;108;1;;;;3644;108;274;3256;108;384;15;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;2876;0;0;0;0;0;0;0;0;0;0;1;4;;4;1;1.31;4;5;0;0;3;6;2;2;1;3;5.66;4.41;0.84;0.05;3.62
CANCERO;2019;150003713;630011831;0;1;0;10773;0;10163;0;0;;;;;;;;;;;;;;1;0;0;610;10163;0;0;0;579;0;2;;4;0;2;0;;2;2;0;1;2;1.72;5.6;0;2.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;150780732;150000271;1;0;1;2809;0;2406;3652;0;1;;;;2080;0;55;1977;0;300;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;25;6;;;336;1994;0;0;0;0;0;0;3620;0;0;0;2;;1;;2.8;;;;;;;;;;;;;;;;
CANCERO;2019;160000170;160000204;0;0;0;140;0;78;352;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;160000253;160000451;1;1;1;16352;0;15515;6509;0;1;;;;8160;0;260;7766;0;800;0;13;0;;;;0;0;0;0;0;0;0;;;;;;0;;;;;;;;;;;23;15;;;539;7887;0;0;0;0;0;0;4154;0;0;0;1;3;2;1;1.34;1.67;16;9;0;;8;9;4;1;;3;17.65;7.66;0.65;;9.5
CANCERO;2019;160000279;160000212;0;0;0;154;0;95;364;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;160013207;160001632;1;0;1;5420;0;4670;3849;0;1;;;;4291;0;122;4129;0;451;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;0;4130;0;0;0;0;0;0;0;0;0;0;1;;1;1;1.5;0.5;11;9;;;;1;2;2;1;;11.9;10;0.95;0.6;
CANCERO;2019;160014650;160014643;0;1;0;;;;;;;;;;;;;;;;;;;2;0;0;914;19232;611;;;849;;1;3;7;2;6;;5;1;9;0;1;3.3;3.7;13.3;2;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;160015368;160014411;1;0;1;1869;0;1777;899;0;1;;;;1866;0;35;1770;0;202;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10;;;278;2319;0;0;0;0;0;0;2619;0;0;0;0;2;;;;2.25;14;14;;;2;5;;1;;1;11.68;7.8;0.21;;1.08
CANCERO;2019;170000038;170780050;1;0;0;667;0;580;855;0;0;170000103;;;562;0;0;545;0;68;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;170000087;170024194;1;0;1;17311;106;15511;12419;109;1;;;;16161;106;545;14999;109;1880;26;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;30;31;;;1305;14717;0;0;0;0;0;0;9592;0;0;0;5;4;4;1;5.4;4.8;32;19;1;1;9;8;6;;;1;38.18;21.61;1.13;0.75;8.88
CANCERO;2019;170000103;170780175;1;1;1;34183;114;33376;8661;117;1;;;;8745;114;9;8530;117;949;30;11;0;2;0;;2187;22401;1;0;0;949;0;3;3;9;0;5;0;0;1;4;0;1;3.67;3.13;11.54;0;3.42;12;14;;;942;8750;0;0;0;0;0;0;11716;0;0;0;5;1;1;0;1.57;0.1;2;10;1;0;4;4;2;0;0;1;5.9;1.16;0.62;0;0.72
CANCERO;2019;170000129;170780191;1;0;0;2949;0;2856;1147;0;0;170000103;;;2948;0;40;2849;0;289;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;170000152;170780225;1;0;0;2574;0;2062;2864;0;1;;;;2321;0;237;2013;0;274;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;170780563;170000251;1;0;0;850;0;284;3684;0;0;170780563;;;177;0;0;177;0;30;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;170780613;170024053;1;0;0;1124;0;566;1850;0;0;170023279;;;120;0;0;120;0;17;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;170780621;170000285;0;0;0;224;0;183;220;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;170780662;170024053;0;0;0;559;0;456;446;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;170783138;170000723;0;1;0;33114;;33114;;;;;;;;;;;;;;;;3;0;0;;33114;;0;;1496;0;5;3;13;3;11;0;;;3;;3;5;3;14.66;3;12.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;180000010;180000028;1;0;0;4677;133;4094;6166;133;1;;;;4333;133;187;4016;133;420;12;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;180000200;180000051;1;0;1;1334;0;1229;1333;0;1;;;;1276;0;6;1210;0;124;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;;502;;;0;0;;;0;;0;;0;0;0;1;0;0.1;0;0;0;0;0;8;0;0;0;0;2.08;0;0;0;0
CANCERO;2019;180000358;180000739;1;0;1;1004;0;911;543;0;0;180004145;;;878;0;0;876;0;105;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;0;892;0;0;0;0;0;0;0;0;0;0;;;;2;;0.5;1;;;;;1;;;;;1.6;;;;
CANCERO;2019;180004145;180000887;1;0;1;7364;0;6665;6139;0;1;;;;6444;0;37;6275;0;724;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;0;6464;0;0;0;0;0;0;0;0;0;0;3;1;2;;4;1;;;;;;;;;;;;;;;
CANCERO;2019;180009490;180006496;0;1;0;29515;;28239;0;;;;;;;;;;;;;;;3;;0;1276;28239;;0;;1236;0;5;5;15;3;17;;1;;3;;;4.67;3.13;16.69;3;15.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;190000018;190000042;1;1;1;30188;0;28921;7280;0;1;;;;9246;0;689;8410;0;1267;0;0;0;3;0;;945;19463;243;0;0;969;0;6;3;16;2;;0;;1;3;;;2.82;2.87;16.41;2;;30;18;;;1502;8950;0;0;0;0;0;0;9097;0;0;0;9;;;3;4.27;1.04;17;17;;;4;4;2;1;1;1;20.99;18.02;1;0.6;4.91
CANCERO;2019;190000026;190000059;1;0;0;397;0;180;1967;0;0;190000042;;;144;0;0;142;0;27;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;190000091;190000075;1;0;0;790;0;685;1036;0;0;190000042;;;706;0;8;670;0;85;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;190000224;190000901;0;0;0;353;0;95;2296;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;190000257;190001131;0;0;0;502;0;200;1367;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;190010629;190010579;1;0;0;888;883;0;2569;887;0;190000018;;;0;883;0;0;887;0;100;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;210005559;210010773;0;1;0;22318;;21163;0;;;;;;;;;;;;;;;2;0;1;1155;21082;;81;55;954;48;;2;8;2;9;;5;;3;;4;2.9;2;10.5;2;11.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;210011847;210011839;1;0;1;5476;0;4947;3669;0;1;;;;4599;0;170;4332;0;527;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;16;0;0;0;4392;0;0;0;0;0;0;0;0;2;;0;;2;;;;;;;;;;;;;;;;
CANCERO;2019;210012670;210011367;0;0;0;441;0;135;1658;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;210780789;210003208;1;0;1;3867;3;3223;4141;3;1;;;;3118;3;22;3064;3;283;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;0;3405;0;0;0;0;0;0;0;0;0;0;;;3;10;1.4;1;4;1;;;;;;;;1;4;1;;;0.8
CANCERO;2019;210987558;210780581;1;0;1;21092;0;17765;30109;0;1;;;;18720;0;759;16487;0;1880;0;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;5;58;;;36;20870;0;0;36;643;0;0;43;0;43;0;;3;1;3;0.5;4.28;29;12;;;6;5;3;2;;;30.73;17.07;1;;5.54
CANCERO;2019;210987657;210012175;1;0;0;1107;7;913;1349;7;1;;;;897;7;21;841;7;109;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;210987665;210012142;1;0;1;39;;39;39;;0;210780417;;;39;0;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;0.1;;;;;;1;;;;;0.1;;;;
CANCERO;2019;210987699;210780706;1;0;0;554;0;484;657;0;0;210780581;210780417;;449;0;0;442;0;47;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;210987731;210780417;1;1;1;53378;248;47042;19866;267;1;;;;18781;248;4477;13696;267;2273;57;0;0;5;0;2;1948;30773;771;93;190;1759;178;11;5;21;4;17;8;1;2;2;;;10.38;6.85;21.35;4;16.24;101;36;30;8;6992;14369;1837;1827;1;0;0;4;24377;6812;2;0;13;5;4;2;13.06;5.92;107;27;2;2;67;16;4;2;;14;116.64;26.38;2.37;2;74.67
CANCERO;2019;220000012;220000020;1;0;0;11469;0;10162;10106;0;1;;;;10645;0;529;9853;0;1095;0;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;220000095;220000046;1;0;0;2309;0;2192;1006;0;0;350000022;;;2300;0;47;2183;0;226;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;220000111;220000376;1;0;1;2288;0;2108;1072;0;1;220000269;;;1502;0;0;1499;0;163;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;0;1480;0;0;0;0;0;0;0;0;0;0;;;4;1;0.4;0.13;1;;;;;1;;;;;1.8;;;;
CANCERO;2019;220000343;220000079;1;0;1;576;0;464;1405;0;0;220000020;;;441;0;0;437;0;45;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;0;449;0;0;0;0;0;0;0;0;0;0;;;4;;0.6;;;;;;;;;;;;;;;;
CANCERO;2019;220000368;220000103;1;0;1;2888;23;2781;1186;35;1;;;;2825;23;28;2767;35;279;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;0;2784;0;0;0;0;0;0;0;0;0;0;;;3;;0.4;;2;1;;;;4;1;;;1;4.08;1.83;;;0.64
CANCERO;2019;220005599;220017842;0;0;0;776;0;443;1486;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
