BOR;AN;FI;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2018;010000024;010780054;GEN;330;780;1;IAO;42278;5227;11714;8326;2511;1446;2;1;;3;1;;193;19;3;;10;3650;3418;597;2916;1;1
URGENCES2;2018;010000032;010780062;GEN;163;151;0;;17458;1863;5162;3127;1017;535;7;7;0;0;0;0;179;25;12;;4;1460;324;125;212;0;1
URGENCES2;2018;010005239;010008407;GEN;252;325;1;IAO;22849;1684;5743;4666;1050;918;0;;;0;;;204;16;23;;5;2374;1782;331;1803;1;0
URGENCES2;2018;010780195;010000156;GEN;196;105;1;IAO;22413;2664;3155;4095;1211;70;;;;;;;;;;;4;;1992;1410;600;1;0
URGENCES2;2018;010780203;010010718;GEN;336;504;1;IAO;28172;2788;7166;2235;913;32;1157;475;36;;;;;;;;8;2920;1778;343;1589;1;1
URGENCES2;2018;020000162;020000063;GEN;554;979;1;IAO;36939;5616;68;11136;3561;12;551;1;3;0;0;0;950;389;2;;10;3650;5128;1026;5344;1;0
URGENCES2;2018;020000162;020000063;PED;252;105;0;;18995;;;;;;;;;;;;;;;2341;0;0;0;0;0;;
URGENCES2;2018;020000394;020000253;GEN;48;36;1;IAO;27335;3458;4268;5791;1860;71;5;4;0;0;0;0;1131;330;33;;4;1460;1656;394;1455;1;0
URGENCES2;2018;020000394;020000253;PED;48;36;0;;8773;;;;;;;;;;;;;;;739;;;0;0;0;;
URGENCES2;2018;020000519;020000261;GEN;510;854;1;IAO;34923;4313;5561;7126;2447;135;123;77;0;0;0;0;314;14;24;;4;1460;1326;494;1111;1;0
URGENCES2;2018;020000519;020000261;PED;510;854;1;IAO;10973;;;;;;;;;;;;;;;1518;;;0;0;0;;
URGENCES2;2018;020000535;020000287;GEN;168;354;1;IAO;19352;2033;3684;4072;1287;42;;;;;;;522;97;88;;6;;1304;216;1235;0;1
URGENCES2;2018;020001061;020004404;GEN;266;416;1;IAO;34126;3208;11532;6154;1948;695;;;;;;;1052;335;53;;4;1460;3386;2338;1064;1;0
URGENCES2;2018;020001087;020004495;GEN;168;168;1;IAO;10950;;1495;845;;;2;;;;;;669;;;;4;1460;1946;1226;770;1;1
URGENCES2;2018;020010047;020001632;GEN;168;168;1;IAO;12646;;;1356;;;;;;;;;;;;;6;2190;335;268;67;1;0
URGENCES2;2018;030000061;030780092;GEN;252;714;1;IAO;39373;4852;11089;9622;2460;2689;12;1;3;8;6;0;0;0;0;;8;2920;1966;683;1421;1;1
URGENCES2;2018;030000079;030780100;GEN;252;420;1;IAO;47425;5370;17837;11860;3763;1706;240;11;0;0;0;0;83;14;11;;6;;4364;1804;2717;1;1
URGENCES2;2018;030000087;030780118;GEN;336;676;1;IAO;32456;5187;5970;9733;3333;910;169;15;2;2;1;;;;;;10;3650;4622;1193;4244;1;0
URGENCES2;2018;030781116;030000426;GEN;168;252;1;IAO;9303;1593;891;2345;784;25;3;1;0;;;;;39;;;;;0;0;0;1;1
