"","ABBREVIATION","NICKNAME","SEASON","Points","Tirs Reussis","Tirs Tentees","% Tirs","3 Points Reussis","3 Points Tentes","% 3 Poins","Lancer Franc Reussi","Lancer Franc Tente","% Lancer Franc","Passes Decisives","Rebond Offensif","Rebond Defensif","Rebond","Interception","Contre","Ballons Perdus"
"1","ATL","Hawks",2003,92.8170731707317,34.5,79.6219512195122,43.329759534385,5.10975609756098,15.2317073170732,33.546837469976,18.7073170731707,24.0975609756098,77.6315789473684,20.0975609756098,12.1463414634146,30.5731707317073,42.719512195122,7.64634146341463,4.97560975609756,15.5853658536585
"2","ATL","Hawks",2004,92.7439024390244,35.8780487804878,81.3536585365854,44.1013341328137,3.70731707317073,11.8658536585366,31.2435765673176,17.280487804878,24.3170731707317,71.0631895687061,19.6585365853659,13.4146341463415,28.4634146341463,41.8780487804878,7.64634146341463,4.19512195121951,15.3048780487805
"3","ATL","Hawks",2005,97.219512195122,35.9268292682927,79.219512195122,45.3509852216749,5.17073170731707,14.0731707317073,36.7417677642981,20.1951219512195,26.9146341463415,75.0339827820571,19.8170731707317,13.0365853658537,27.219512195122,40.2560975609756,7.15853658536585,4.80487804878049,15.0609756097561
"4","ATL","Hawks",2006,93.6585365853659,34.5243902439024,77.7073170731707,44.428750784683,4.15853658536586,12.6585365853659,32.8516377649326,20.4512195121951,26.8658536585366,76.1234679981843,19.1829268292683,11.9024390243902,28.1951219512195,40.0975609756098,7.42682926829268,5.4390243902439,15.1951219512195
"5","ATL","Hawks",2007,97.3483146067416,35.7303370786517,79.2247191011236,45.0999858176145,4.62921348314607,13.0898876404494,35.3648068669528,21.2584269662921,27.4943820224719,77.3191663261136,21.6404494382022,12.2359550561798,29.6741573033708,41.9101123595506,7.07865168539326,5.48314606741573,14.3258426966292
"6","ATL","Hawks",2008,96.4516129032258,35.3440860215054,78.0752688172043,45.2692466602396,7.13978494623656,19.6344086021505,36.3636363636364,18.6236559139785,25.2365591397849,73.7963357477631,19.8172043010753,10.6236559139785,28.7956989247312,39.4193548387097,7.3010752688172,4.44086021505376,12.0752688172043
"7","ATL","Hawks",2009,100.236559139785,38.2043010752688,82.5483870967742,46.2810993877817,6.17204301075269,17.258064516129,35.7632398753894,17.6559139784946,23.1827956989247,76.1595547309833,21.1720430107527,11.9569892473118,29.5376344086022,41.494623655914,7.11827956989247,5.04301075268817,11.3440860215054
"8","ATL","Hawks",2010,93.8829787234042,35.8085106382979,78.0744680851064,45.8645592042513,5.91489361702128,16.9574468085106,34.8808030112923,16.3510638297872,21.1808510638298,77.197388247112,21.4787234042553,9.25531914893617,29.7659574468085,39.0212765957447,6.08510638297872,4.26595744680851,12.5851063829787
"9","ATL","Hawks",2011,95.3888888888889,36.3888888888889,80.8888888888889,44.9862637362637,7.31944444444444,20.0416666666667,36.5211365211365,15.2916666666667,20.5833333333333,74.2914979757085,22.0277777777778,9.88888888888889,31.4027777777778,41.2916666666667,7.90277777777778,4.48611111111111,13.3888888888889
"10","ATL","Hawks",2012,97.3636363636364,37.2727272727273,80.7727272727273,46.1451885199775,8.44318181818182,22.875,36.910084451068,14.375,20.1818181818182,71.2274774774775,24.1136363636364,9.18181818181818,31.5113636363636,40.6931818181818,8.04545454545454,4.45454545454546,14.1022727272727
"11","ATL","Hawks",2013,100.325842696629,36.7752808988764,81.3370786516854,45.2134272689598,9.51685393258427,26.3595505617978,36.1040068201194,17.2584269662921,21.9775280898876,78.5276073619632,24.2584269662921,8.73033707865168,31.1910112359551,39.9213483146067,8.15730337078652,4.02247191011236,14.3707865168539
