"","PLAYER_NAME","SEASON","TEAM_ID","Points","Passes_décisives","Rebonds_Offensifs","Rebonds_Défensifs","Rebonds","Interceptions","Contres","Balles_Perdues","LEAGUE_ID","MIN_YEAR","MAX_YEAR","ABBREVIATION","NICKNAME","YEARFOUNDED","CITY","ARENA","ARENACAPACITY","OWNER","GENERALMANAGER","HEADCOACH","DLEAGUEAFFILIATION"
"5414","Jeremy Lin",2011,1610612752,14.6285714285714,6.17142857142857,0.514285714285714,2.54285714285714,3.05714285714286,1.57142857142857,0.257142857142857,3.6,0,1946,2019,"NYK","Knicks",1946,"New York","Madison Square Garden",19763,"Cablevision (James Dolan)","Steve Mills","David Fizdale","Westchester Knicks"
"5415","Jeremy Lin",2012,1610612745,12.9186046511628,5.87209302325581,0.372093023255814,2.59302325581395,2.96511627906977,1.58139534883721,0.348837209302326,2.83720930232558,0,1967,2019,"HOU","Rockets",1967,"Houston","Toyota Center",18104,"Tilman Fertitta","Daryl Morey","Mike D'Antoni","Rio Grande Valley Vipers"
"5416","Jeremy Lin",2013,1610612745,12.4415584415584,4.15584415584416,0.532467532467533,2.18181818181818,2.71428571428571,0.922077922077922,0.363636363636364,2.45454545454545,0,1967,2019,"HOU","Rockets",1967,"Houston","Toyota Center",18104,"Tilman Fertitta","Daryl Morey","Mike D'Antoni","Rio Grande Valley Vipers"
"5417","Jeremy Lin",2014,1610612747,11.3164556962025,4.68354430379747,0.354430379746835,2.31645569620253,2.67088607594937,1.08860759493671,0.417721518987342,2.24050632911392,0,1948,2019,"LAL","Lakers",1948,"Los Angeles","Staples Center",19060,"Jerry Buss Family Trust","Rob Pelinka","Frank Vogel","South Bay Lakers"
"5418","Jeremy Lin",2015,1610612766,12.010989010989,3.03296703296703,0.527472527472528,2.71428571428571,3.24175824175824,0.736263736263736,0.461538461538461,1.89010989010989,0,1988,2019,"CHA","Hornets",1988,"Charlotte","Spectrum Center",19026,"Michael Jordan","Mitch Kupchak","James Borrego","Greensboro Swarm"
"5419","Jeremy Lin",2016,1610612751,14.8536585365854,5.17073170731707,0.268292682926829,3.26829268292683,3.53658536585366,1.19512195121951,0.341463414634146,2.53658536585366,0,1976,2019,"BKN","Nets",1976,"Brooklyn","Barclays Center",NA,"Joe Tsai","Sean Marks","Kenny Atkinson","Long Island Nets"
"5420","Jeremy Lin",2017,1610612751,12.6,3.6,0,2.2,2.2,0.2,0.6,3.2,0,1976,2019,"BKN","Nets",1976,"Brooklyn","Barclays Center",NA,"Joe Tsai","Sean Marks","Kenny Atkinson","Long Island Nets"
"5421","Jeremy Lin",2018,1610612737,10.6545454545455,3.49090909090909,0.345454545454545,2.03636363636364,2.38181818181818,0.727272727272727,0.145454545454545,1.92727272727273,0,1949,2019,"ATL","Hawks",1949,"Atlanta","State Farm Arena",18729,"Tony Ressler","Travis Schlenk","Lloyd Pierce","Erie Bayhawks"
"5422","Jeremy Lin",2018,1610612761,5.48387096774194,1.74193548387097,0.193548387096774,1.83870967741935,2.03225806451613,0.32258064516129,0.193548387096774,1,0,1995,2019,"TOR","Raptors",1995,"Toronto","Scotiabank Arena",19800,"Maple Leaf Sports and Entertainment","Masai Ujiri","Nick Nurse","Raptors 905"
"5423","Jeremy Morgan",2017,1610612763,1,0.5,0.5,1,1.5,0.5,0.5,0.5,0,1995,2019,"MEM","Grizzlies",1995,"Memphis","FedExForum",18119,"Robert Pera","Zach Kleiman","Taylor Jenkins","Memphis Hustle"
