identifiant,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,doctorat,revenu_sup_3000,lab,femme,age,nb_HH,recyclage_index
LAB8026,LAB8033,LAB8035,NA,NA,NA,NA,1,1,LAB8,0,46,4,0.8888889
LAB8027,LAB8015,LAB8038,LAB8034,LAB8014,LAB8026,NA,1,1,LAB8,0,57,3,1
LAB8028,LAB8009,NA,NA,NA,NA,NA,0,1,LAB8,0,25,2,0.7777778
LAB8029,LAB8003,LAB8030,LAB8028,LAB8005,LAB8009,LAB8015,0,0,LAB8,0,26,1,0.6666667
LAB8030,LAB8005,LAB8001,LAB8009,LAB8015,LAB8029,LAB8028,0,0,LAB8,1,26,1,0.8888889
LAB8031,LAB8012,LAB8034,LAB8024,LAB8010,LAB8007,LAB8003,1,1,LAB8,0,41,5,0.7777778
LAB8032,NA,NA,LAB8006,LAB8025,LAB8038,NA,1,1,LAB8,0,46,3,0.6666667
LAB8033,LAB8038,LAB8015,LAB8035,NA,NA,NA,1,1,LAB8,1,37,4,0.8888889
LAB8034,LAB8031,LAB8017,LAB8024,LAB8007,LAB8038,LAB8033,1,1,LAB8,1,54,5,0.8888889
LAB8035,LAB8018,LAB8038,LAB8033,LAB8042,LAB8015,LAB8026,1,1,LAB8,0,40,4,0.7777778
LAB8037,LAB8040,LAB8020,LAB8019,NA,NA,NA,1,1,LAB8,0,56,4,0.8888889
LAB8038,LAB8035,LAB8033,NA,NA,NA,NA,1,0,LAB8,1,43,2,0.6666667
LAB8040,LAB8037,NA,NA,NA,NA,NA,1,1,LAB8,0,59,4,0.8888889
LAB8041,LAB8017,NA,NA,NA,NA,NA,0,0,LAB8,0,24,2,0.5555556
LAB8042,LAB8018,LAB8035,NA,NA,NA,NA,0,1,LAB8,0,26,5,0.8888889
LAB8043,LAB8021,NA,NA,NA,NA,NA,1,1,LAB8,0,50,5,0.7777778
LAB8044,LAB8011,NA,NA,NA,NA,NA,0,0,LAB8,0,27,1,0.6666667
LAB9001,LAB9039,NA,NA,NA,NA,NA,1,1,LAB9,0,36,5,1
LAB9002,NA,LAB9046,LAB9015,NA,LAB9019,NA,1,1,LAB9,1,57,3,1
LAB9003,LAB9019,NA,NA,NA,NA,NA,0,1,LAB9,1,59,2,0.7777778
LAB9004,LAB9003,LAB9038,LAB9008,LAB9015,NA,NA,0,1,LAB9,1,56,3,0.8888889
LAB9005,LAB9033,NA,NA,NA,NA,NA,1,1,LAB9,0,41,5,1
LAB9006,LAB9016,NA,NA,NA,NA,NA,1,1,LAB9,0,64,2,0.6666667
LAB9007,LAB9051,LAB9033,NA,NA,NA,NA,1,1,LAB9,0,41,4,0.7777778
LAB9008,LAB9004,LAB9019,LAB9052,LAB9051,LAB9053,LAB9031,1,1,LAB9,0,65,2,0.6666667
LAB9012,NA,LAB9002,NA,NA,LAB9015,NA,0,0,LAB9,0,39,1,0.6666667
LAB9013,LAB9014,LAB9016,NA,NA,NA,NA,1,1,LAB9,0,41,4,0.7777778
LAB9014,LAB9013,NA,NA,NA,NA,LAB9019,1,1,LAB9,0,54,3,0.6666667
LAB9015,LAB9002,NA,NA,NA,NA,NA,0,1,LAB9,1,54,5,0.7777778
LAB9016,LAB9006,NA,NA,NA,NA,NA,1,1,LAB9,0,63,2,0.3333333
LAB9017,LAB9021,LAB9039,NA,LAB9038,NA,NA,0,0,LAB9,1,23,2,0.7777778
LAB9018,LAB9051,LAB9033,LAB9026,NA,NA,NA,1,1,LAB9,1,47,4,0.6666667
LAB9019,LAB9003,LAB9002,NA,NA,NA,NA,1,1,LAB9,0,53,3,0.6666667
LAB9021,LAB9004,LAB9031,LAB9017,LAB9001,LAB9039,LAB9037,0,0,LAB9,0,32,1,0.6666667
LAB9022,LAB9015,LAB9037,NA,NA,NA,NA,1,0,LAB9,1,44,3,1
LAB9023,LAB9046,LAB9002,LAB9022,NA,NA,NA,1,1,LAB9,1,61,2,0.6666667
LAB9026,LAB9018,LAB9033,LAB9051,NA,NA,NA,1,1,LAB9,1,42,4,0.8888889
LAB9027,NA,LAB9033,LAB9051,NA,NA,NA,1,1,LAB9,1,62,1,0.8888889
LAB9029,LAB9037,NA,LAB9046,NA,NA,NA,1,0,LAB9,1,24,1,1
LAB9030,LAB9048,NA,NA,NA,NA,NA,0,1,LAB9,0,24,3,0.8888889
LAB9031,LAB9046,LAB9021,LAB9039,NA,LAB9038,NA,1,1,LAB9,0,47,3,0.7777778
LAB9033,LAB9005,LAB9007,NA,LAB9018,NA,NA,1,1,LAB9,0,51,4,0.6666667
LAB9037,LAB9040,LAB9019,LAB9003,LAB9023,LAB9002,LAB9046,0,1,LAB9,0,42,4,0.7777778
LAB9038,LAB9039,NA,LAB9031,LAB9004,NA,NA,1,1,LAB9,1,46,2,0.5555556
LAB9039,LAB9038,NA,LAB9019,LAB9002,NA,NA,1,1,LAB9,1,62,2,0.7777778
LAB9040,LAB9052,LAB9022,LAB9037,NA,NA,NA,1,1,LAB9,1,39,5,0.8888889
LAB9045,NA,LAB9027,LAB9033,NA,NA,NA,1,1,LAB9,0,64,4,0.7777778
LAB9046,NA,LAB9002,NA,NA,NA,NA,1,1,LAB9,0,38,2,0.7777778
LAB9047,LAB9048,LAB9014,LAB9013,NA,NA,NA,0,0,LAB9,0,30,2,0.7777778
LAB9048,LAB9047,NA,NA,NA,NA,NA,0,0,LAB9,0,29,3,0.5555556
LAB9051,LAB9007,LAB9005,LAB9033,NA,LAB9019,NA,1,1,LAB9,0,50,4,0.6666667
LAB9052,NA,LAB9022,NA,NA,NA,NA,1,0,LAB9,0,54,4,0.6666667
LAB9053,LAB9008,NA,NA,NA,NA,NA,0,0,LAB9,1,29,1,0.4444444
