identifiant,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,doctorat,revenu_sup_3000,lab,femme,age,nb_HH,recyclage_index
LAB4011,LAB4059,LAB4009,LAB4053,NA,NA,NA,1,1,LAB4,0,44,4,0.8888889
LAB4012,LAB4003,LAB4042,LAB4022,LAB4025,LAB4040,LAB4044,1,1,LAB4,1,47,2,1
LAB4013,LAB4001,LAB4033,LAB4048,NA,NA,NA,1,1,LAB4,1,45,4,1
LAB4014,LAB4076,NA,LAB4010,LAB4068,NA,NA,1,1,LAB4,0,50,4,0.8888889
LAB4016,LAB4076,LAB4068,LAB4014,NA,NA,NA,1,0,LAB4,0,41,1,0.7777778
LAB4017,LAB4062,LAB4075,NA,NA,NA,NA,1,1,LAB4,0,41,5,0.7777778
LAB4019,LAB4002,LAB4008,NA,LAB4038,NA,NA,0,1,LAB4,1,49,3,0.7777778
LAB4020,NA,NA,LAB4089,LAB4010,LAB4068,NA,1,1,LAB4,0,47,3,0.5555556
LAB4021,LAB4096,LAB4026,LAB4044,LAB4077,LAB4003,LAB4040,0,1,LAB4,0,25,2,1
LAB4022,LAB4012,LAB4055,LAB4005,LAB4008,NA,LAB4002,1,1,LAB4,1,56,2,0.7777778
LAB4024,LAB4034,NA,LAB4076,NA,LAB4014,LAB4091,0,0,LAB4,0,25,4,0.5555556
LAB4025,LAB4003,LAB4012,LAB4039,LAB4017,LAB4040,NA,1,1,LAB4,1,53,2,0.8888889
LAB4026,LAB4021,LAB4012,LAB4042,LAB4003,LAB4039,NA,0,1,LAB4,1,25,2,1
LAB4027,LAB4004,NA,LAB4008,LAB4078,LAB4074,LAB4086,0,0,LAB4,0,26,2,0.8888889
LAB4028,LAB4053,NA,LAB4086,NA,LAB4055,LAB4062,1,1,LAB4,0,46,5,0.8888889
LAB4029,NA,LAB4092,LAB4086,LAB4062,LAB4075,LAB4052,1,1,LAB4,1,40,5,0.4444444
LAB4030,LAB4105,LAB4092,LAB4029,LAB4052,LAB4013,LAB4055,1,1,LAB4,1,61,2,0.5555556
LAB4031,LAB4039,LAB4042,LAB4021,LAB4077,LAB4003,LAB4032,0,0,LAB4,1,26,1,0.5555556
LAB4032,LAB4039,LAB4022,LAB4003,LAB4044,LAB4040,NA,1,1,LAB4,1,52,4,0.8888889
LAB4033,LAB4013,LAB4005,LAB4050,LAB4052,NA,NA,0,1,LAB4,1,47,4,0.7777778
LAB4034,LAB4081,LAB4006,LAB4024,NA,LAB4061,LAB4036,0,0,LAB4,0,29,2,0.5555556
LAB4036,NA,LAB4068,LAB4081,LAB4061,NA,LAB4080,1,1,LAB4,0,51,3,0.8888889
LAB4037,LAB4075,LAB4062,NA,NA,NA,NA,1,1,LAB4,1,45,4,1
LAB4038,LAB4019,LAB4095,LAB4055,LAB4049,LAB4013,NA,0,1,LAB4,1,36,3,0.7777778
LAB4039,LAB4041,LAB4044,LAB4022,LAB4031,LAB4042,LAB4032,1,1,LAB4,0,50,3,0.6666667
LAB4040,LAB4077,LAB4044,LAB4003,LAB4039,LAB4021,LAB4012,1,1,LAB4,0,69,2,0.7777778
LAB4041,LAB4077,LAB4032,LAB4039,NA,NA,NA,1,1,LAB4,0,33,3,0.3333333
LAB4042,LAB4012,NA,NA,NA,NA,NA,1,0,LAB4,0,36,1,0.8888889
LAB4043,LAB4003,LAB4012,LAB4017,LAB4040,LAB4044,LAB4093,1,1,LAB4,0,63,2,0.6666667
LAB4044,LAB4040,LAB4021,LAB4077,LAB4012,LAB4003,LAB4039,1,1,LAB4,1,41,2,0.7777778
LAB4046,LAB4047,LAB4001,NA,NA,NA,NA,1,1,LAB4,0,42,3,0.8888889
LAB4047,LAB4046,LAB4002,NA,NA,NA,NA,1,0,LAB4,0,51,1,0.6666667
LAB4048,NA,LAB4008,LAB4038,LAB4068,LAB4036,NA,1,1,LAB4,0,48,4,0.7777778
LAB4049,LAB4005,LAB4086,LAB4050,NA,NA,NA,0,0,LAB4,1,48,3,0.4444444
LAB4050,LAB4005,LAB4033,LAB4052,LAB4059,LAB4008,NA,0,0,LAB4,0,35,1,0.6666667
LAB4051,LAB4053,LAB4005,NA,NA,NA,NA,1,1,LAB4,0,41,4,0.7777778
LAB4052,LAB4030,LAB4005,LAB4037,NA,NA,NA,0,1,LAB4,0,54,5,0.5555556
LAB4053,LAB4051,LAB4011,LAB4017,LAB4059,LAB4028,LAB4009,1,1,LAB4,0,44,4,0.7777778
LAB4054,LAB4009,NA,LAB4051,LAB4087,LAB4021,LAB4003,0,0,LAB4,0,29,2,0.6666667
LAB4055,LAB4019,NA,LAB4009,NA,LAB4052,LAB4038,0,1,LAB4,1,53,2,0.7777778
LAB4056,LAB4081,LAB4006,NA,NA,NA,NA,1,1,LAB4,0,31,3,0.5555556
LAB4058,LAB4087,LAB4059,NA,NA,NA,NA,1,1,LAB4,1,34,2,0.6666667
LAB4059,LAB4011,NA,LAB4058,LAB4053,NA,NA,1,1,LAB4,0,45,4,0.6666667
LAB4060,LAB4016,NA,LAB4076,LAB4014,LAB4008,LAB4010,1,1,LAB4,1,65,1,1
LAB4061,LAB4036,LAB4081,NA,LAB4068,NA,NA,1,0,LAB4,1,29,1,0.7777778
LAB4062,LAB4075,LAB4017,LAB4028,LAB4013,LAB4092,LAB4086,1,1,LAB4,0,34,3,0.7777778
LAB4063,LAB4069,LAB4048,NA,NA,NA,NA,1,1,LAB4,1,57,1,0.5555556
LAB4065,LAB4084,LAB4085,NA,LAB4024,NA,LAB4074,0,0,LAB4,0,26,3,0.6666667
LAB4066,LAB4098,LAB4047,NA,NA,NA,NA,1,1,LAB4,0,32,4,0.8888889
LAB4067,LAB4071,LAB4009,LAB4004,NA,LAB4053,LAB4028,1,1,LAB4,1,37,2,0.7777778
LAB4068,NA,LAB4036,LAB4014,NA,NA,NA,1,1,LAB4,0,61,2,0.5555556
LAB4069,LAB4063,LAB4048,LAB4081,LAB4013,NA,NA,1,1,LAB4,0,40,4,1
LAB4070,LAB4002,NA,LAB4001,LAB4046,LAB4047,LAB4094,1,0,LAB4,0,51,1,0.4444444
LAB4071,LAB4008,NA,NA,NA,LAB4067,LAB4027,1,1,LAB4,1,42,3,0.5555556
LAB4074,NA,NA,LAB4061,NA,NA,NA,0,0,LAB4,0,27,1,0.7777778
LAB4075,LAB4062,LAB4092,LAB4017,LAB4030,LAB4086,LAB4037,0,0,LAB4,0,41,4,0.6666667
LAB4076,LAB4014,LAB4036,NA,LAB4010,NA,LAB4024,1,1,LAB4,0,40,2,0.5555556
LAB4077,LAB4040,LAB4041,LAB4021,LAB4044,NA,NA,1,1,LAB4,0,35,3,0.8888889
LAB4078,LAB4004,LAB4008,LAB4027,NA,NA,NA,0,1,LAB4,0,28,4,0.6666667
LAB4079,LAB4010,LAB4014,NA,NA,NA,LAB4020,1,1,LAB4,0,38,4,0.7777778
LAB4080,NA,LAB4036,LAB4048,LAB4010,NA,NA,1,1,LAB4,0,55,3,0.5555556
LAB4081,LAB4036,LAB4006,NA,NA,NA,NA,1,1,LAB4,0,40,4,0.7777778
LAB4084,LAB4074,LAB4065,NA,LAB4085,NA,NA,0,0,LAB4,0,27,6,0.5555556
LAB4085,NA,LAB4103,NA,NA,NA,NA,1,1,LAB4,0,33,2,0.7777778
LAB4086,LAB4105,LAB4075,LAB4062,NA,NA,NA,1,1,LAB4,0,48,5,0.7777778
LAB4087,NA,LAB4074,NA,NA,LAB4058,NA,0,0,LAB4,0,30,3,0.5555556
LAB4089,LAB4020,LAB4048,LAB4069,LAB4104,NA,NA,1,1,LAB4,1,35,3,0.8888889
LAB4090,NA,NA,LAB4080,NA,NA,NA,1,1,LAB4,1,61,5,0.7777778
LAB4091,LAB4010,LAB4014,LAB4076,NA,LAB4079,NA,0,1,LAB4,0,40,5,0.7777778
LAB4092,LAB4105,LAB4062,LAB4075,NA,LAB4052,LAB4055,1,1,LAB4,0,33,2,1
LAB4093,LAB4059,LAB4003,NA,LAB4043,LAB4058,NA,1,1,LAB4,0,75,2,0.6666667
LAB4094,LAB4001,LAB4002,LAB4070,LAB4075,LAB4098,NA,1,0,LAB4,1,25,1,0.4444444
LAB4095,LAB4055,NA,NA,NA,NA,NA,0,0,LAB4,1,34,2,0.5555556
LAB4096,LAB4021,LAB4051,LAB4053,LAB4026,LAB4028,LAB4003,0,0,LAB4,0,25,1,0.7777778
LAB4098,LAB4066,LAB4047,LAB4046,NA,NA,NA,1,0,LAB4,0,30,4,0.4444444
LAB4102,LAB4094,LAB4047,NA,NA,NA,NA,0,0,LAB4,1,31,2,0.7777778
LAB4103,LAB4056,LAB4074,NA,NA,LAB4085,NA,0,0,LAB4,0,29,2,0.7777778
LAB4104,LAB4089,LAB4056,LAB4024,LAB4103,NA,NA,0,1,LAB4,1,25,7,0.6666667
LAB4105,LAB4092,LAB4030,LAB4086,LAB4052,LAB4055,LAB4017,1,0,LAB4,0,51,1,0.4444444
LAB5001,LAB5025,LAB5026,LAB5017,LAB5018,LAB5027,LAB5031,0,0,LAB5,0,24,2,0.5555556
LAB5002,NA,LAB5009,LAB5028,NA,LAB5012,NA,1,1,LAB5,1,44,6,0.8888889
LAB5003,LAB5001,LAB5007,LAB5027,LAB5026,LAB5014,LAB5005,1,0,LAB5,0,30,1,0.7777778
LAB5005,LAB5021,LAB5032,NA,LAB5015,NA,NA,1,0,LAB5,1,54,2,0.8888889
LAB5006,LAB5013,LAB5016,LAB5017,NA,NA,NA,1,1,LAB5,0,58,4,0.5555556
LAB5007,LAB5003,LAB5018,LAB5005,LAB5027,LAB5014,LAB5017,1,0,LAB5,1,29,1,0.8888889
LAB5009,LAB5021,NA,LAB5022,LAB5012,NA,NA,1,1,LAB5,1,42,4,0.3333333
LAB5010,LAB5024,NA,LAB5006,LAB5012,LAB5022,LAB5009,0,1,LAB5,0,37,3,0.8888889
LAB5011,LAB5027,LAB5022,NA,LAB5015,LAB5003,LAB5007,1,0,LAB5,0,33,1,0.4444444
LAB5012,LAB5028,NA,LAB5013,LAB5020,LAB5022,NA,1,1,LAB5,0,63,2,0.6666667
LAB5013,LAB5006,LAB5022,LAB5017,LAB5016,LAB5024,LAB5012,1,1,LAB5,0,40,3,1
LAB5014,LAB5003,NA,NA,NA,NA,NA,0,0,LAB5,0,26,4,0.7777778
LAB5015,LAB5017,NA,NA,NA,NA,NA,0,0,LAB5,1,25,1,1
LAB5016,LAB5013,LAB5006,NA,NA,NA,NA,1,1,LAB5,0,33,2,0.7777778
LAB5017,LAB5013,LAB5028,LAB5015,NA,LAB5022,NA,1,0,LAB5,0,50,1,0.7777778
LAB5018,LAB5027,NA,NA,NA,NA,NA,0,0,LAB5,0,25,2,0.3333333
LAB5020,NA,LAB5012,NA,LAB5028,LAB5022,LAB5006,1,0,LAB5,0,56,1,0.1111111
LAB5021,LAB5009,NA,NA,NA,NA,NA,1,1,LAB5,0,53,3,0.6666667
LAB5022,LAB5012,NA,LAB5013,LAB5007,LAB5011,LAB5017,1,1,LAB5,0,46,5,0.4444444
