Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bolivie,BOL,"Population active, total",SL.TLF.TOTL.IN,3743883,3820117,3898322,3980057,4064628,4151820,4417572,4416875,4570941,4696931,4799179,4902372,4776939,4929362,5186538,4978794,5103906,5306478,5663066,5684739,5705374,5664325,5863110
Brésil,BRA,"Population active, total",SL.TLF.TOTL.IN,79347235,81451849,84252471,85732532,88065748,90599379,91731711,92730992,93935308,95703669,95367508,94948394,97188186,98532617,99628945,101299233,102278733,104079618,105437485,107415119,100641930,105434083,108380011
Barbade,BRB,"Population active, total",SL.TLF.TOTL.IN,142025,144594,143335,145813,147648,148408,145822,146641,147080,147741,148400,149131,146825,148815,143390,144417,148685,147106,146039,143823,140212,141327,142648
Brunéi Darussalam,BRN,"Population active, total",SL.TLF.TOTL.IN,151139,156664,161368,166039,170625,175084,179379,183516,187518,191393,195182,198598,200259,201720,203072,204352,205465,206363,218003,217445,218013,221395,224612
Bhoutan,BTN,"Population active, total",SL.TLF.TOTL.IN,254064,264329,275240,286771,298864,309880,317948,325013,332055,338969,338303,341235,332058,342591,334024,342466,348313,354541,361072,367463,359185,366787,376933
Botswana,BWA,"Population active, total",SL.TLF.TOTL.IN,604481,625334,645728,665680,685506,705453,725796,758244,792136,827046,805850,831878,856975,882334,908862,936988,967141,999039,1031385,1063621,1066751,1116485,1151624
République centrafricaine,CAF,"Population active, total",SL.TLF.TOTL.IN,1434054,1469433,1505203,1544126,1577653,1613926,1645567,1673441,1706706,1741932,1774367,1793765,1792920,1784916,1758255,1749975,1780976,1814399,1849471,1893599,1932138,1985303,2042438
Canada,CAN,"Population active, total",SL.TLF.TOTL.IN,16308539,16585664,17068694,17463547,17673742,17819057,18035498,18382598,18662575,18787385,18985430,19146806,19316264,19522293,19586757,19690129,19877599,20144985,20344108,20758436,20471068,20960467,21344993
Europe centrale et les pays baltes,CEB,"Population active, total",SL.TLF.TOTL.IN,50973631,50748521,49306849,48922737,48857336,48779232,48857471,48880016,48998951,49080180,49233342,48967725,49217885,49257844,49556407,49475145,49318975,49689091,49617865,49577634,49254854,48869958,49114717
Suisse,CHE,"Population active, total",SL.TLF.TOTL.IN,3998850,4062012,4103899,4151688,4156364,4176327,4239193,4307257,4410392,4477719,4447007,4532128,4589900,4647770,4732391,4804656,4886342,4920490,4956328,4971006,4979813,4980848,5024491
Îles Anglo-Normandes,CHI,"Population active, total",SL.TLF.TOTL.IN,71477,72648,73972,74988,75554,76062,76300,76581,77834,79109,79610,79373,79729,80236,80804,81596,82427,83079,83802,84527,84092,85558,86871
Chili,CHL,"Population active, total",SL.TLF.TOTL.IN,6281817,6292422,6348066,6524560,6686711,6849194,7114930,7297902,7574753,7672069,7836109,8131735,8209415,8324494,8468946,8566113,8661001,8872208,9059235,9214285,8698434,9081005,9446464
Chine,CHN,"Population active, total",SL.TLF.TOTL.IN,731993935,739359562,747567965,755273046,762251057,769371812,774287037,776045127,776378230,775599063,774058132,778323480,778937997,779042510,780062420,780709584,780524312,778674707,776278514,775321104,751446327,780370660,781831676
Côte d'Ivoire,CIV,"Population active, total",SL.TLF.TOTL.IN,6020615,6137014,6264404,6414848,6577439,6748108,6923835,7104515,7289697,7478860,7674193,7842038,7988446,8151021,8360975,8617882,8883562,9157647,9441715,9735200,9943686,10355728,10787278
Cameroun,CMR,"Population active, total",SL.TLF.TOTL.IN,6777417,6980593,7195632,7417444,7641508,7867103,8098747,8341459,8418157,8476630,8515123,8654090,8788788,8923111,9090658,9410154,9711721,9996942,10286704,10596388,10818499,11162667,11577796
"Congo, République démocratique du",COD,"Population active, total",SL.TLF.TOTL.IN,18972844,19559968,20178951,20775195,21399275,22085661,22533506,22982377,23412171,23828069,24281009,24782462,25253938,26115207,27011671,27914047,28894272,29889916,30828284,31751451,32445875,33725417,35059361
"Congo, République du",COG,"Population active, total",SL.TLF.TOTL.IN,1221081,1279992,1310937,1351129,1405156,1464221,1527237,1589371,1642565,1713370,1788389,1842541,1885755,1920680,1957890,1997819,2041567,2089890,2141363,2195682,2234418,2299859,2378882
Colombie,COL,"Population active, total",SL.TLF.TOTL.IN,17858301,18268713,18646802,19258302,19248116,19445700,19455601,19444239,19971706,21259578,22128149,22789274,23525349,23805205,24245416,24759081,25039982,25528733,26010171,26304740,24932942,25983568,25830076
Comores,COM,"Population active, total",SL.TLF.TOTL.IN,121592,123296,125021,127457,130933,136156,141521,147019,152664,158474,164449,170591,176900,183361,189967,195023,200182,205077,209548,213852,216650,222259,228983
Cabo Verde,CPV,"Population active, total",SL.TLF.TOTL.IN,158891,164071,169257,174444,179617,184772,189912,195035,200110,205079,209631,214157,218615,223037,227455,231746,235863,239923,228928,240383,230599,238605,245779
Costa Rica,CRI,"Population active, total",SL.TLF.TOTL.IN,1619332,1727162,1762911,1819682,1828417,1943857,1977908,2050044,2078889,2099430,2060686,2149242,2321866,2337155,2395003,2380187,2223154,2335223,2459739,2573190,2456537,2529009,2538299
Petits états des Caraïbes,CSS,"Population active, total",SL.TLF.TOTL.IN,2711997,2740797,2776912,2821047,2877056,2920964,2955526,2986406,3021213,3008853,2996435,3034946,3088680,3152249,3211650,3297405,3316168,3360178,3405957,3424422,3338431,3427883,3518747
Cuba,CUB,"Population active, total",SL.TLF.TOTL.IN,4574917,4617677,4654474,4702617,4760536,4838868,4917576,4973753,5012770,5148033,5108192,5177768,5206907,5236610,5259288,5294366,5310520,5328848,5345408,5347554,4938351,5043018,5156812
Curacao,CUW,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Îles Caïmans,CYM,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Chypre,CYP,"Population active, total",SL.TLF.TOTL.IN,444376,466012,478168,499598,510737,524879,541304,562541,574967,584396,602913,608583,612980,618239,628856,620365,615687,625144,638543,649712,651740,666826,675104
République tchèque,CZE,"Population active, total",SL.TLF.TOTL.IN,5145060,5113433,5111439,5111710,5110793,5171492,5191920,5188504,5211811,5255696,5239650,5222763,5254149,5302824,5300088,5309480,5354440,5386053,5425122,5421467,5375292,5274427,5320617
Allemagne,DEU,"Population active, total",SL.TLF.TOTL.IN,39865801,40029198,40056637,40236914,40039826,41239999,41693116,41861246,41917490,41978630,41949335,41729225,41853628,42212988,42458390,42660629,43567225,43819028,43935038,44433744,43501190,43386527,44515312
Djibouti,DJI,"Population active, total",SL.TLF.TOTL.IN,160449,166178,171588,174770,176357,178300,180817,184112,187329,190717,194134,198220,202429,206808,211319,215865,220843,225672,230408,235094,230671,238367,244880
Dominique,DMA,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Danemark,DNK,"Population active, total",SL.TLF.TOTL.IN,2853060,2841507,2868928,2868194,2895623,2893154,2917717,2924753,2918710,2909160,2888564,2887130,2871734,2850392,2865028,2895364,2939677,2966464,2990219,3032098,3028252,3070703,3132170
République dominicaine,DOM,"Population active, total",SL.TLF.TOTL.IN,3246426,3246913,3331113,3342971,3424410,3480356,3593807,3660256,3757662,3690074,3844470,4015614,4176432,4236156,4325193,4579344,4685793,4752184,4931651,5091385,4804576,5101650,5277616
Algérie,DZA,"Population active, total",SL.TLF.TOTL.IN,8926622,9145785,9355943,9556009,9747177,9916026,10077549,10244513,10402784,10551825,10832192,11067848,11293832,11793700,11279335,11709818,11918421,12067162,12221429,12396383,11857820,12260834,12638622
